,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Area.BlkSub,Height,IR,S.N,Run.Cmpd,runDate,type,SampID,replicate,inj.vol.Norm.Area,d4-Tryptamine.Norm.Area,d-IAA.Norm.Area,D-Phenylalanine.Norm.Area,D-Tryptophan.Norm.Area,Vitamin B1_IS.Norm.Area,Vitamin B2_IS.Norm.Area,D8-Arachidonic Acid.Norm.Area,D5-EPA.Norm.Area,D5-DHA.Norm.Area,D6-Tocopherol.Norm.Area,D3-Pyridoxal.Norm.Area,PooPlusModel.IS,PooPlusModel
1,170518_Poo_TruePoo_Full1,Phenylalanine,1.26,comparable to blk,118563600,8878816,25157866,5.636225224,12.8602822,170518_Poo_TruePoo_Full1 Phenylalanine,170518,Poo,TruePoo,Full1,NA,110642234.8,144727597.1,160381984.3,158908474.9,120331804.9,148706003.1,699565434.1,1168821776,877992799.6,111287283,126516575.8,D-Phenylalanine.Norm.Area,160381984.3
2,170518_Poo_TruePoo_Full2,Phenylalanine,1.265,comparable to blk,137960048,28275264,29047558,5.096903496,13.60850319,170518_Poo_TruePoo_Full2 Phenylalanine,170518,Poo,TruePoo,Full2,NA,137216466.4,105157542.1,170490039.1,154673301.4,137457966.9,134795933.5,129839109.1,154487973,132204807.1,87480117.06,153570786.6,D-Phenylalanine.Norm.Area,170490039.1
3,170518_Poo_TruePoo_Full3,Phenylalanine,1.27,comparable to blk,169221280,59536496,33466328,5.145151651,15.67899293,170518_Poo_TruePoo_Full3 Phenylalanine,170518,Poo,TruePoo,Full3,NA,144838458.4,128854031.2,172782707.3,176990622.6,170594352.8,152810476.4,213210090.5,276835799.3,232639692.6,188543085.3,201301207.6,D-Phenylalanine.Norm.Area,172782707.3
4,170518_Poo_TruePoo_Half1,Phenylalanine,1.26,comparable to blk,NA,-38841968,14713600,5.458257853,14.12822733,170518_Poo_TruePoo_Half1 Phenylalanine,170518,Poo,TruePoo,Half1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Phenylalanine.Norm.Area,NA
5,170518_Poo_TruePoo_Half2,Phenylalanine,1.265,comparable to blk,NA,-33002560,16515357,5.060908926,13.08301363,170518_Poo_TruePoo_Half2 Phenylalanine,170518,Poo,TruePoo,Half2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Phenylalanine.Norm.Area,NA
6,170518_Poo_TruePoo_Half3,Phenylalanine,1.27,comparable to blk,NA,-23671080,17552648,5.051166269,14.46705091,170518_Poo_TruePoo_Half3 Phenylalanine,170518,Poo,TruePoo,Half3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Phenylalanine.Norm.Area,NA
7,170518_Smp_EtACpH2_1,Phenylalanine,1.255,comparable to blkbad S/N,NA,-109362522,103589,4.940395524,1.372056132,170518_Smp_EtACpH2_1 Phenylalanine,170518,Smp,EtACpH2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Phenylalanine.Norm.Area,NA
8,170518_Smp_EtACpH2_2,Phenylalanine,1.275,comparable to blkbad S/N,NA,-108502018,249017,7.33070954,1.708047235,170518_Smp_EtACpH2_2 Phenylalanine,170518,Smp,EtACpH2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Phenylalanine.Norm.Area,NA
9,170518_Smp_EtACpH2_3,Phenylalanine,1.265,comparable to blkbad S/N,NA,-107727871,444751,4.792889945,1.70050215,170518_Smp_EtACpH2_3 Phenylalanine,170518,Smp,EtACpH2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Phenylalanine.Norm.Area,NA
10,170518_Smp_EtACpH5_1,Phenylalanine,1.195,Bad IRcomparable to blkbad S/N,NA,-109417028,94082,11.71849972,1.078715324,170518_Smp_EtACpH5_1 Phenylalanine,170518,Smp,EtACpH5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D-Phenylalanine.Norm.Area,NA
