"X1","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","S.N","BlkRatio","rawArea"
7,"170518_Smp_EtACpH2_1","Phenylalanine",1.255,"comparable to blkbad S/N",109684784,-109362522,103589,4.940395524,1.372056132,340.3590371,322262
8,"170518_Smp_EtACpH2_2","Phenylalanine",1.275,"comparable to blkbad S/N",109684784,-108502018,249017,7.33070954,1.708047235,92.73582771,1182766
9,"170518_Smp_EtACpH2_3","Phenylalanine",1.265,"comparable to blkbad S/N",109684784,-107727871,444751,4.792889945,1.70050215,56.04990309,1956913
10,"170518_Smp_EtACpH5_1","Phenylalanine",1.195,"Bad IRcomparable to blkbad S/N",109684784,-109417028,94082,11.71849972,1.078715324,409.644542,267756
11,"170518_Smp_EtACpH5_2","Phenylalanine",1.275,"comparable to blkbad S/N",109684784,-107814027,279551,6.212889684,1.528952682,58.63123003,1870757
12,"170518_Smp_EtACpH5_3","Phenylalanine",1.28,"comparable to blkbad S/N",109684784,-108736269,148489,5.68780245,1.258027704,115.6384285,948515
13,"170518_Smp_EtACpH8_1","Phenylalanine",1.19,"Bad IRcomparable to blkbad S/N",109684784,-109558536,26245,29.61482524,1.710543793,868.8041316,126248
14,"170518_Smp_EtACpH8_2","Phenylalanine",1.27,"Bad IRcomparable to blk",109684784,-109081160,113833,10.06090305,4.145775573,181.7104423,603624
15,"170518_Smp_EtACpH8_3","Phenylalanine",1.25,"comparable to blkbad S/N",109684784,-109430481,48587,6.329251599,1.803020686,431.3153364,254303
16,"170518_Smp_SPEpH2_1","Phenylalanine",1.27,"comparable to blk",248263200,138578416,49427320,5.171817711,15.421285,0.441808468,248263200
17,"170518_Smp_SPEpH2_2","Phenylalanine",1.27,NA,433811872,324127088,85302856,5.180108469,13.99308336,0.252839517,433811872
18,"170518_Smp_SPEpH2_3","Phenylalanine",1.27,NA,238525568,128840784,47935456,5.192974817,14.69382534,0.459844976,238525568
19,"170518_Smp_SPEpH5_1","Phenylalanine",1.26,NA,324658784,214974000,69066128,5.153910576,17.41253003,0.337846346,324658784
20,"170518_Smp_SPEpH5_2","Phenylalanine",1.265,NA,192113824,82429040,41259180,5.029088184,15.6407207,0.570936447,192113824
21,"170518_Smp_SPEpH5_3","Phenylalanine",1.27,NA,341098784,231414000,67715288,5.046403167,18.29576895,0.321563105,341098784
22,"170518_Smp_SPEpH8_1","Phenylalanine",1.23,NA,663069440,553384656,134070488,3.59741973,503.786602,0.165419755,663069440
23,"170518_Smp_SPEpH8_2","Phenylalanine",1.26,NA,149775264,40090480,34715212,5.334479902,14.80450641,0.732329098,149775264
24,"170518_Smp_SPEpH8_3","Phenylalanine",1.26,NA,134863344,25178560,31638876,5.192232742,15.82573585,0.813303161,134863344
31,"170518_Smp_EtACpH2_1","Tryptophan",2.25,"Bad IRcomparable to blkbad S/N",27589050,-27367392,34413,0.732918474,2.153687607,124.4667461,221658
