"","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","Run.Cmpd","runDate","type","SampID","replicate","inj.vol.Norm.Area","13C Acetyl CoA.Norm.Area","13C-Isethionic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area","13C-Sulfolactic Acid.Norm.Area","d3-Cysteic Acid.Norm.Area","d4 Succinic Acid.Norm.Area","d4 Taurine.Norm.Area","D-Methionine.Norm.Area","Heavy Alanine.Norm.Area","Heavy Histidine.Norm.Area","Heavy Isoleucine.Norm.Area","Heavy Proline.Norm.Area","Heavy Valine.Norm.Area","15N GMP.Norm.Area","15N AMP.Norm.Area","PooModel.IS","SmpModel.IS","PooPlusModel.IS","PooModel","SmpModel","PooPlusModel"
"1","170516_Smp_EtACpH2_1","Alanine",11.16,"comparable to blk",372255,-146511,14008,NA,"170516_Smp_EtACpH2_1 Alanine","170516","Smp","EtACpH2","1",372255,683814.110803913,272475.184225743,292092.520253245,436328.00053378,414224.674509577,318961.528066759,285583.474519988,378827.680480476,362300.711516737,288943.102151268,630373.491383843,357056.750096471,335189.914364608,365674.441596468,334089.979149038,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
"2","170516_Smp_EtACpH2_2","Alanine",11.25,"comparable to blk",372255,-330215,7364,NA,"170516_Smp_EtACpH2_2 Alanine","170516","Smp","EtACpH2","2",372255,1514313.42228244,539134.566555545,428744.083604789,767852.868162064,786034.702670533,487568.273759651,497416.01398611,10410014.0997157,591191.352625467,443018.6701819,1023511.04055526,582293.816955482,527533.401221264,453896.909439325,517342.213381722,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
"3","170516_Smp_EtACpH2_3","Alanine",11.27,"comparable to blk",372255,-185895,24641,NA,"170516_Smp_EtACpH2_3 Alanine","170516","Smp","EtACpH2","3",372255,1229278.63929116,330409.31120933,326353.35871343,449003.019306361,404327.250059358,562347.760493489,325988.933995831,993791175.87667,558159.252146199,441546.295419575,953674.989371715,546693.783445581,495779.066302993,464416.837361545,539451.865906176,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
"4","170516_Smp_EtACpH5_1","Alanine",11.27,"comparable to blk",372255,-252286,8849,NA,"170516_Smp_EtACpH5_1 Alanine","170516","Smp","EtACpH5","1",372255,1280112.93177193,290508.5805246,342167.947829548,422718.485314506,394138.814583777,1124023.5564286,278129.447884621,2032917.96929372,1004518.15039802,782596.789776886,1664889.24104392,887343.495189478,878660.920054675,1222081.19529684,1009752.108904,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
"5","170516_Smp_EtACpH5_2","Alanine",11.27,"comparable to blk",372255,-302068,9975,NA,"170516_Smp_EtACpH5_2 Alanine","170516","Smp","EtACpH5","2",372255,466380.075885404,358747.201021114,379465.295561524,531419.07325923,584623.56618218,591773.505882823,320073.662344675,402428.53362244,433455.584447584,357548.643024918,716266.256206415,405270.380169502,399705.036791179,372758.281436712,432745.511811429,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
"6","170516_Smp_EtACpH5_3","Alanine",11.28,"comparable to blk",372255,-173429,15619,NA,"170516_Smp_EtACpH5_3 Alanine","170516","Smp","EtACpH5","3",372255,440587.632488706,344359.953780664,380922.901471518,498304.960485189,459954.028088548,440650.973823476,305156.320837926,424080.696122124,443319.23972136,340914.832368819,742190.803171467,392426.068801574,377065.301707668,442939.193188115,427070.520754759,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
"7","170516_Smp_EtACpH8_1","Alanine",11.38,"comparable to blk",372255,-297216,8243,NA,"170516_Smp_EtACpH8_1 Alanine","170516","Smp","EtACpH8","1",372255,2574697.49758459,519051.215688525,524817.693461521,912261.755465086,756796.581388597,1596469.04227613,364445.709649389,1643085.31388131,1813344.32635086,1583040.11464723,2725638.74359445,1431820.29357691,1416049.81098887,1882950.74728672,2087019.5776238,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
"8","170516_Smp_EtACpH8_2","Alanine",10.93,"comparable to blk",372255,-20758,23125,NA,"170516_Smp_EtACpH8_2 Alanine","170516","Smp","EtACpH8","2",372255,360397.159874206,367874.964260685,391204.547427151,573974.762409715,479039.083621971,353706.789073433,296962.341020051,294392.495377669,285167.315326816,245849.245347621,496901.094092099,275205.701922922,275644.031232585,294770.694704298,345045.590307612,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
"9","170516_Smp_EtACpH8_3","Alanine",11.39,"comparable to blk",372255,-288401,7762,NA,"170516_Smp_EtACpH8_3 Alanine","170516","Smp","EtACpH8","3",372255,370891.8288875,358812.301446502,359813.948983244,517525.852145606,431116.02128102,366584.728877509,293103.045224726,285082.804627205,314642.86755094,253987.988733977,518970.559055192,283946.581567307,271226.690498758,309279.56455777,351960.48790691,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
"10","170516_Smp_SPEpH2_1","Alanine",11.29,"comparable to blk",372255,-214212,15253,NA,"170516_Smp_SPEpH2_1 Alanine","170516","Smp","SPEpH2","1",372255,247743.655862051,265176.22761591,256543.041477261,203318.713791337,231997.83928383,238420.59164616,415805.769440158,197443.099233784,262745.188085668,358605.004947449,249762.291255727,265145.242260934,241213.001680855,249132.857666293,235309.295810485,NA,"inj.vol.Norm.Area","inj.vol.Norm.Area",NA,372255,372255
