# Hello! welcome to your data! Overload height: 1e+08. RT flexibility: 0.4. Ion ratio flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N threshold: 4. Minimum peak height: 1000. Processed on: 2017-06-28 14:53:26,,,,,,,,,,,
,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Area.BlkSub,Height,IR,S.N,BlkRatio,rawArea
1,170516_Poo_TruePoo_Full1,Alanine,11.06,comparable to blkbad S/N,NA,-5296,26500,NA,3.85016699,1.01443213,366959
2,170516_Poo_TruePoo_Full2,Alanine,11.04,comparable to blk,NA,3839,19343,NA,150.5998409,0.989792446,376094
3,170516_Poo_TruePoo_Full3,Alanine,11.1,comparable to blk,NA,-83453,25979,NA,Inf,1.28896268,288802
4,170516_Poo_TruePoo_Half1,Alanine,11.38,comparable to blk,NA,-214234,13667,NA,Inf,2.3557312,158021
5,170516_Poo_TruePoo_Half2,Alanine,11.27,comparable to blk,NA,-163220,11539,NA,Inf,1.780826177,209035
6,170516_Poo_TruePoo_Half3,Alanine,11.23,comparable to blk,NA,-304603,18354,NA,35.60460358,5.502498078,67652
7,170516_Smp_EtACpH2_1,Alanine,11.16,comparable to blk,NA,-146511,14008,NA,Inf,1.649013927,225744
8,170516_Smp_EtACpH2_2,Alanine,11.25,comparable to blk,NA,-330215,7364,NA,4.735228787,8.854781161,42040
9,170516_Smp_EtACpH2_3,Alanine,11.27,comparable to blk,NA,-185895,24641,NA,Inf,1.997504829,186360
10,170516_Smp_EtACpH5_1,Alanine,11.27,comparable to blk,NA,-252286,8849,NA,15.80733152,3.102926589,119969
11,170516_Smp_EtACpH5_2,Alanine,11.27,comparable to blk,NA,-302068,9975,NA,Inf,5.303759956,70187
12,170516_Smp_EtACpH5_3,Alanine,11.28,comparable to blk,NA,-173429,15619,NA,Inf,1.872265197,198826
13,170516_Smp_EtACpH8_1,Alanine,11.38,comparable to blk,NA,-297216,8243,NA,14.04118874,4.960820373,75039
14,170516_Smp_EtACpH8_2,Alanine,10.93,comparable to blk,NA,-20758,23125,NA,51.19234614,1.059055981,351497
15,170516_Smp_EtACpH8_3,Alanine,11.39,comparable to blk,NA,-288401,7762,NA,Inf,4.439323109,83854
16,170516_Smp_SPEpH2_1,Alanine,11.29,comparable to blk,NA,-214212,15253,NA,5.164396195,2.355403276,158043
17,170516_Smp_SPEpH2_2,Alanine,11.27,comparable to blk,NA,-306086,11466,NA,Inf,5.625821759,66169
18,170516_Smp_SPEpH2_3,Alanine,11.05,comparable to blk,NA,-99044,21312,NA,Inf,1.362518347,273211
