"X1","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","S.N","BlkRatio","rawArea"
7,"170724_Smp_SPEpH2-nospike_1","Phenylalanine",1.38,NA,75455520,75245798,14499227,5.811470287,7.003792496,0.002779412,75455520
8,"170724_Smp_SPEpH2-nospike_2","Phenylalanine",1.395,NA,76630664,76420942,14026756,5.477439371,7.81657462,0.00273679,76630664
9,"170724_Smp_SPEpH2-nospike_3","Phenylalanine",1.395,NA,84267184,84057462,15611327,5.40933019,6.440696205,0.002488774,84267184
10,"170724_Smp_SPEpH2-spikeafter_1a","Phenylalanine",1.405,NA,406952704,406742982,82955680,5.298080211,14.00764408,0.000515347,406952704
11,"170724_Smp_SPEpH2-spikeafter_1b","Phenylalanine",1.41,NA,396970400,396760678,79717480,5.338270979,15.23128822,0.000528306,396970400
12,"170724_Smp_SPEpH2-spikeafter_1c","Phenylalanine",1.41,NA,392509472,392299750,81182368,5.237318762,15.87719511,0.000534311,392509472
13,"170724_Smp_SPEpH2-spikeafter_2a","Phenylalanine",1.41,NA,266288080,266078358,52813680,5.337834501,15.2609152,0.000787576,266288080
14,"170724_Smp_SPEpH2-spikeafter_2b","Phenylalanine",1.41,NA,263481840,263272118,52751956,5.349767761,14.46438275,0.000795964,263481840
15,"170724_Smp_SPEpH2-spikeafter_2c","Phenylalanine",1.41,NA,266898240,266688518,54089940,5.369410646,15.14584253,0.000785775,266898240
16,"170724_Smp_SPEpH2-spikeafter_3a","Phenylalanine",1.41,NA,183072896,182863174,36412216,5.506955433,14.09710527,0.001145566,183072896
17,"170724_Smp_SPEpH2-spikeafter_3b","Phenylalanine",1.41,NA,179174400,178964678,36317048,5.348844332,14.30661431,0.001170491,179174400
18,"170724_Smp_SPEpH2-spikeafter_3c","Phenylalanine",1.41,NA,181626224,181416502,37112984,5.211872907,13.58673957,0.00115469,181626224
19,"170724_Smp_SPEpH2-spikebefore_1","Phenylalanine",1.395,NA,503195328,502985606,92371592,5.676749865,17.12376708,0.00041678,503195328
20,"170724_Smp_SPEpH2-spikebefore_2","Phenylalanine",1.395,"overloaded?",647439488,647229766,117255736,5.464447405,17.26023142,0.000323925,647439488
21,"170724_Smp_SPEpH2-spikebefore_3","Phenylalanine",1.4,"overloaded?",641501824,641292102,118490128,5.340992147,20.00891458,0.000326923,641501824
43,"170724_Smp_SPEpH2-nospike_1","Tryptophan",2.405,NA,4521722,4509969,374355,4.032981147,7.362331892,0.002599231,4521722
44,"170724_Smp_SPEpH2-nospike_2","Tryptophan",2.445,NA,4410060,4398307,354179,4.689787038,9.662139893,0.002665043,4410060
45,"170724_Smp_SPEpH2-nospike_3","Tryptophan",2.45,NA,3209428,3197675,278679,2.450173222,3.775846352,0.003662023,3209428
46,"170724_Smp_SPEpH2-spikeafter_1a","Tryptophan",2.48,NA,46622916,46611163,4462073,4.023367208,24.72025284,0.000252086,46622916
47,"170724_Smp_SPEpH2-spikeafter_1b","Tryptophan",2.48,NA,42802300,42790547,4267727,3.914754759,18.6472965,0.000274588,42802300
48,"170724_Smp_SPEpH2-spikeafter_1c","Tryptophan",2.48,NA,43318768,43307015,4078690,3.644949905,12.77174982,0.000271314,43318768
49,"170724_Smp_SPEpH2-spikeafter_2a","Tryptophan",2.485,NA,26717606,26705853,2668248,3.666186077,18.53238795,0.000439897,26717606
50,"170724_Smp_SPEpH2-spikeafter_2b","Tryptophan",2.48,NA,26648204,26636451,2493345,4.363156302,13.28523773,0.000441043,26648204
51,"170724_Smp_SPEpH2-spikeafter_2c","Tryptophan",2.485,NA,25248452,25236699,2540624,3.728296404,12.83821582,0.000465494,25248452
52,"170724_Smp_SPEpH2-spikeafter_3a","Tryptophan",2.49,NA,13761409,13749656,1259713,3.594054695,8.749741092,0.000854055,13761409
53,"170724_Smp_SPEpH2-spikeafter_3b","Tryptophan",2.5,NA,13414915,13403162,1239420,3.533140754,9.666604001,0.000876114,13414915
54,"170724_Smp_SPEpH2-spikeafter_3c","Tryptophan",2.5,NA,12846406,12834653,1257250,3.858054162,10.92920544,0.000914886,12846406
55,"170724_Smp_SPEpH2-spikebefore_1","Tryptophan",2.455,NA,28578084,28566331,2676846,4.093575263,11.52518369,0.000411259,28578084
56,"170724_Smp_SPEpH2-spikebefore_2","Tryptophan",2.46,NA,39861356,39849603,3869228,3.766132809,14.53296298,0.000294847,39861356
57,"170724_Smp_SPEpH2-spikebefore_3","Tryptophan",2.45,NA,33517842,33506089,3071935,3.94943572,17.62373677,0.000350649,33517842
79,"170724_Smp_SPEpH2-nospike_1","Kynurenine",1.315,NA,0,79601,48216,1.208125911,1.102144101,0,79601
80,"170724_Smp_SPEpH2-nospike_2","Kynurenine",1.345,NA,0,3190,0,0.270361895,1.00304881,0,3190
81,"170724_Smp_SPEpH2-nospike_3","Kynurenine",1.375,NA,0,163390,43729,5.688868772,1.226341126,0,163390
82,"170724_Smp_SPEpH2-spikeafter_1a","Kynurenine",1.515,NA,9217979,9217979,1560300,1.476353229,4.231897406,0,9217979
83,"170724_Smp_SPEpH2-spikeafter_1b","Kynurenine",1.51,NA,7724580,7724580,1372892,1.296385648,4.303239788,0,7724580
84,"170724_Smp_SPEpH2-spikeafter_1c","Kynurenine",1.52,NA,7916451,7916451,1310219,1.400152989,4.480696557,0,7916451
85,"170724_Smp_SPEpH2-spikeafter_2a","Kynurenine",1.515,NA,5070255,5070255,763425,1.474152173,3.062513805,0,5070255
86,"170724_Smp_SPEpH2-spikeafter_2b","Kynurenine",1.52,NA,4809254,4809254,713976,1.403614649,2.721744423,0,4809254
87,"170724_Smp_SPEpH2-spikeafter_2c","Kynurenine",1.52,NA,4271492,4271492,736810,1.27720689,2.468991884,0,4271492
88,"170724_Smp_SPEpH2-spikeafter_3a","Kynurenine",1.515,NA,2709966,2709966,504343,1.45093399,1.975581711,0,2709966
89,"170724_Smp_SPEpH2-spikeafter_3b","Kynurenine",1.51,NA,2798835,2798835,459604,1.265985193,2.197474246,0,2798835
90,"170724_Smp_SPEpH2-spikeafter_3c","Kynurenine",1.515,NA,2622960,2622960,492574,1.360549581,1.995596232,0,2622960
91,"170724_Smp_SPEpH2-spikebefore_1","Kynurenine",1.49,NA,4505784,4505784,741794,1.386287586,2.449043235,0,4505784
92,"170724_Smp_SPEpH2-spikebefore_2","Kynurenine",1.5,NA,5834701,5834701,1014904,1.423955304,2.805916405,0,5834701
93,"170724_Smp_SPEpH2-spikebefore_3","Kynurenine",1.505,NA,6357021,6357021,1067978,1.497562494,4.002007471,0,6357021
115,"170724_Smp_SPEpH2-nospike_1","Dimethyl glycine",0.815,NA,946880,872348,380675,5.255655958,134.0822207,0.078713248,946880
116,"170724_Smp_SPEpH2-nospike_2","Dimethyl glycine",0.835,"Bad IR",927286,852754,339907,14.44415714,Inf,0.080376497,927286
117,"170724_Smp_SPEpH2-nospike_3","Dimethyl glycine",0.82,NA,1398903,1324371,586984,6.198393357,78.71683333,0.053278891,1398903
118,"170724_Smp_SPEpH2-spikeafter_1a","Dimethyl glycine",0.82,"Bad IR",53462932,53388400,24426564,3.746840713,61.77011266,0.001394087,53462932
119,"170724_Smp_SPEpH2-spikeafter_1b","Dimethyl glycine",0.82,NA,53500496,53425964,23554240,4.170979575,Inf,0.001393109,53500496
120,"170724_Smp_SPEpH2-spikeafter_1c","Dimethyl glycine",0.82,"Bad IR",52472224,52397692,23360332,3.820373047,123.9041917,0.001420409,52472224
121,"170724_Smp_SPEpH2-spikeafter_2a","Dimethyl glycine",0.82,NA,49714544,49640012,20277974,4.80410392,30426.05753,0.001499199,49714544
122,"170724_Smp_SPEpH2-spikeafter_2b","Dimethyl glycine",0.82,NA,48531116,48456584,19389630,4.621926532,35659.42469,0.001535757,48531116
123,"170724_Smp_SPEpH2-spikeafter_2c","Dimethyl glycine",0.82,NA,48980532,48906000,20423132,4.498148047,3445.724102,0.001521666,48980532
124,"170724_Smp_SPEpH2-spikeafter_3a","Dimethyl glycine",0.82,NA,39115304,39040772,15594505,4.670406545,403.3297608,0.001905443,39115304
125,"170724_Smp_SPEpH2-spikeafter_3b","Dimethyl glycine",0.82,NA,36701148,36626616,14623275,4.769386332,Inf,0.002030781,36701148
126,"170724_Smp_SPEpH2-spikeafter_3c","Dimethyl glycine",0.82,NA,36668380,36593848,14654210,4.80518296,604.6245411,0.002032596,36668380
127,"170724_Smp_SPEpH2-spikebefore_1","Dimethyl glycine",0.81,NA,579676,505144,232081,6.052603552,471.8984565,0.128575273,579676
