"","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","Run.Cmpd","runDate","type","SampID","replicate","inj.vol.Norm.Area","d4-Tryptamine.Norm.Area","d-IAA.Norm.Area","D-Phenylalanine.Norm.Area","D-Tryptophan.Norm.Area","Vitamin B2_IS.Norm.Area","D8-Arachidonic Acid.Norm.Area","D5-EPA.Norm.Area","D5-DHA.Norm.Area","D6-Tocopherol.Norm.Area","D3-Pyridoxal.Norm.Area","PooModel.IS","SmpModel.IS","PooPlusModel.IS","PooModel","SmpModel","PooPlusModel"
"1","170724_Smp_SPEpH8-nospike_1","Phenylalanine",1.37,NA,29979102,29769380,5822953,5.370517128,"170724_Smp_SPEpH8-nospike_1 Phenylalanine","170724","Smp","SPEpH8-nospike","1",29979102,41359849.3496172,49671147.0563677,26145955.0706103,28139586.8380056,31978014.1416843,61850012.879086,54079639.8501869,67394965.2153596,31669419.0702188,28732061.4796503,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",28139586.8380056,26145955.0706103,26145955.0706103
"2","170724_Smp_SPEpH8-nospike_2","Phenylalanine",1.38,NA,63343640,63133918,11653880,5.205508384,"170724_Smp_SPEpH8-nospike_2 Phenylalanine","170724","Smp","SPEpH8-nospike","2",63343640,93185821.8356542,66660156.899258,49057914.2628081,49438066.3915068,42357358.6829353,72486193.596275,57216168.3722554,62737553.6646714,172519187.483582,61984454.1135456,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",49438066.3915068,49057914.2628081,49057914.2628081
"3","170724_Smp_SPEpH8-nospike_3","Phenylalanine",1.375,NA,45707192,45497470,8626859,5.139718408,"170724_Smp_SPEpH8-nospike_3 Phenylalanine","170724","Smp","SPEpH8-nospike","3",45707192,65337574.7297324,43652947.778001,36597960.6006078,40535134.2152862,33707044.0659242,35792555.8353877,37512788.0029733,39630121.3108448,78344676.6429972,49328409.5451627,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",40535134.2152862,36597960.6006078,36597960.6006078
"4","170724_Smp_SPEpH8-spikeafter1_a","Phenylalanine",1.4,NA,367058944,366849222,76640136,5.349931724,"170724_Smp_SPEpH8-spikeafter1_a Phenylalanine","170724","Smp","SPEpH8-spikeafter1","a",367058944,356430714.442555,288786428.198235,322424994.831002,371907305.151681,368370888.378203,399470244.501943,795709703.191252,762793830.956288,892497446.7971,434404001.671462,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",371907305.151681,322424994.831002,322424994.831002
"5","170724_Smp_SPEpH8-spikeafter1_b","Phenylalanine",1.4,NA,352999744,352790022,75277224,5.228122616,"170724_Smp_SPEpH8-spikeafter1_b Phenylalanine","170724","Smp","SPEpH8-spikeafter1","b",352999744,293771757.180894,254432425.435159,341322882.824413,372185080.360332,363198467.795246,351511617.099583,832729316.109226,707094368.60325,443233642.277957,441213355.681019,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",372185080.360332,341322882.824413,341322882.824413
"6","170724_Smp_SPEpH8-spikeafter1_c","Phenylalanine",1.405,NA,350523648,350313926,75577752,5.100665472,"170724_Smp_SPEpH8-spikeafter1_c Phenylalanine","170724","Smp","SPEpH8-spikeafter1","c",350523648,253082283.701009,233969762.203677,331959225.839944,344320074.12807,384733718.817676,360314173.473906,898279125.778629,785520568.45267,313475326.004954,448484502.776257,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",344320074.12807,331959225.839944,331959225.839944
"7","170724_Smp_SPEpH8-spikeafter2_a","Phenylalanine",1.4,NA,168442976,168233254,38370864,5.262387292,"170724_Smp_SPEpH8-spikeafter2_a Phenylalanine","170724","Smp","SPEpH8-spikeafter2","a",168442976,148627063.038055,138581447.699956,172190825.684458,158152534.83296,136701414.109343,165407510.860564,167088082.878521,167630912.230347,333834139.114995,274744279.494279,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",158152534.83296,172190825.684458,172190825.684458
"8","170724_Smp_SPEpH8-spikeafter2_b","Phenylalanine",1.4,NA,157565664,157355942,36020540,5.271409413,"170724_Smp_SPEpH8-spikeafter2_b Phenylalanine","170724","Smp","SPEpH8-spikeafter2","b",157565664,120653507.530578,125303956.003803,172923425.238972,161676348.0203,156325966.034162,143069823.895062,155767254.339905,156679652.3783,143330479.954718,309903241.684092,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",161676348.0203,172923425.238972,172923425.238972
"9","170724_Smp_SPEpH8-spikeafter2_c","Phenylalanine",1.41,NA,160747904,160538182,35923012,5.090831564,"170724_Smp_SPEpH8-spikeafter2_c Phenylalanine","170724","Smp","SPEpH8-spikeafter2","c",160747904,104531590.576241,112911494.210852,175089036.662892,176064787.852632,156240462.607076,141697194.802653,159813909.855002,156887100.888619,105476365.788674,291558212.534979,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",176064787.852632,175089036.662892,175089036.662892
"10","170724_Smp_SPEpH8-spikeafter3_a","Phenylalanine",1.4,NA,117149632,116939910,26157564,5.328480209,"170724_Smp_SPEpH8-spikeafter3_a Phenylalanine","170724","Smp","SPEpH8-spikeafter3","a",117149632,124203689.943973,103756974.78956,109032662.801852,110844073.139949,98013001.5807249,115203383.447048,105440725.808831,120101144.293725,352143449.150736,155773174.048817,"D-Tryptophan.Norm.Area","D-Phenylalanine.Norm.Area","D-Phenylalanine.Norm.Area",110844073.139949,109032662.801852,109032662.801852
