# Hello! welcome to your data! Overload height: 1e+08. RT flexibility: 0.4. Ion ratio flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N threshold: 4. Minimum peak height: 100. Processed on: 2017-07-26 12:10:45,,,,,,,,,,,
,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Area.BlkSub,Height,IR,S.N,BlkRatio,rawArea
1,170724_Poo_TruePoo_Full1,Phenylalanine,1.4,,316287872,316078150,62947100,5.322818017,19.50462136,0.000663073,316287872
2,170724_Poo_TruePoo_Full2,Phenylalanine,1.4,,293787968,293578246,60313364,5.4030933,18.76730935,0.000713855,293787968
3,170724_Poo_TruePoo_Full3,Phenylalanine,1.4,,283957600,283747878,57854036,5.327084955,14.70925474,0.000738568,283957600
4,170724_Poo_TruePoo_Half1,Phenylalanine,1.4,,152751120,152541398,32841006,5.34573474,16.08483938,0.001372965,152751120
5,170724_Poo_TruePoo_Half2,Phenylalanine,1.405,,135789264,135579542,29457274,5.505417143,14.27774207,0.001544467,135789264
6,170724_Poo_TruePoo_Half3,Phenylalanine,1.4,,126188000,125978278,27911148,5.220297653,14.77571333,0.001661981,126188000
7,170724_Smp_SPEpH2-nospike_1,Phenylalanine,1.38,,75455520,75245798,14499227,5.811470287,7.003792496,0.002779412,75455520
8,170724_Smp_SPEpH2-nospike_2,Phenylalanine,1.395,,76630664,76420942,14026756,5.477439371,7.81657462,0.00273679,76630664
9,170724_Smp_SPEpH2-nospike_3,Phenylalanine,1.395,,84267184,84057462,15611327,5.40933019,6.440696205,0.002488774,84267184
10,170724_Smp_SPEpH2-spikeafter_1a,Phenylalanine,1.405,,406952704,406742982,82955680,5.298080211,14.00764408,0.000515347,406952704
11,170724_Smp_SPEpH2-spikeafter_1b,Phenylalanine,1.41,,396970400,396760678,79717480,5.338270979,15.23128822,0.000528306,396970400
12,170724_Smp_SPEpH2-spikeafter_1c,Phenylalanine,1.41,,392509472,392299750,81182368,5.237318762,15.87719511,0.000534311,392509472
13,170724_Smp_SPEpH2-spikeafter_2a,Phenylalanine,1.41,,266288080,266078358,52813680,5.337834501,15.2609152,0.000787576,266288080
14,170724_Smp_SPEpH2-spikeafter_2b,Phenylalanine,1.41,,263481840,263272118,52751956,5.349767761,14.46438275,0.000795964,263481840
15,170724_Smp_SPEpH2-spikeafter_2c,Phenylalanine,1.41,,266898240,266688518,54089940,5.369410646,15.14584253,0.000785775,266898240
16,170724_Smp_SPEpH2-spikeafter_3a,Phenylalanine,1.41,,183072896,182863174,36412216,5.506955433,14.09710527,0.001145566,183072896
17,170724_Smp_SPEpH2-spikeafter_3b,Phenylalanine,1.41,,179174400,178964678,36317048,5.348844332,14.30661431,0.001170491,179174400
18,170724_Smp_SPEpH2-spikeafter_3c,Phenylalanine,1.41,,181626224,181416502,37112984,5.211872907,13.58673957,0.00115469,181626224
19,170724_Smp_SPEpH2-spikebefore_1,Phenylalanine,1.395,,503195328,502985606,92371592,5.676749865,17.12376708,0.00041678,503195328
20,170724_Smp_SPEpH2-spikebefore_2,Phenylalanine,1.395,overloaded?,647439488,647229766,117255736,5.464447405,17.26023142,0.000323925,647439488
21,170724_Smp_SPEpH2-spikebefore_3,Phenylalanine,1.4,overloaded?,641501824,641292102,118490128,5.340992147,20.00891458,0.000326923,641501824
22,170724_Smp_SPEpH8-nospike_1,Phenylalanine,1.37,,29979102,29769380,5822953,5.370517128,3.599858365,0.006995606,29979102
23,170724_Smp_SPEpH8-nospike_2,Phenylalanine,1.38,,63343640,63133918,11653880,5.205508384,5.775929132,0.003310861,63343640
24,170724_Smp_SPEpH8-nospike_3,Phenylalanine,1.375,,45707192,45497470,8626859,5.139718408,4.569534405,0.004588381,45707192
25,170724_Smp_SPEpH8-spikeafter_1a,Phenylalanine,1.4,,367058944,366849222,76640136,5.349931724,12.79052343,0.000571358,367058944
26,170724_Smp_SPEpH8-spikeafter_1b,Phenylalanine,1.4,,352999744,352790022,75277224,5.228122616,12.01931634,0.000594114,352999744
27,170724_Smp_SPEpH8-spikeafter_1c,Phenylalanine,1.405,,350523648,350313926,75577752,5.100665472,12.53622109,0.000598311,350523648
28,170724_Smp_SPEpH8-spikeafter_2a,Phenylalanine,1.4,,168442976,168233254,38370864,5.262387292,11.91364784,0.001245062,168442976
29,170724_Smp_SPEpH8-spikeafter_2b,Phenylalanine,1.4,,157565664,157355942,36020540,5.271409413,11.14592609,0.001331013,157565664
30,170724_Smp_SPEpH8-spikeafter_2c,Phenylalanine,1.41,,160747904,160538182,35923012,5.090831564,12.14369987,0.001304664,160747904
31,170724_Smp_SPEpH8-spikeafter_3a,Phenylalanine,1.4,,117149632,116939910,26157564,5.328480209,9.077604824,0.001790206,117149632
