"","Compound.Name","spikeafter1","spikeafter2","spikeafter3","spikebefore","percent.recovery","Group"
"1","DHZ",215770.902545598,122393.171128429,736519.668277175,44711518.8130906,10361,"Phytohormone"
"2","GA3",52903.3295645231,34010.0379456732,67237.0683014833,7500296.31345746,7089,"Phytohormone"
"3","2iP",362778.144701052,137889.49759928,980223.4253124,30893571.263763,4258,"Phytohormone"
"4","Hydroxo B12",951740.603237277,810125.571794314,5773816.90815077,72782378.2921878,3824,"Vitamin B12"
"5","Cyano B12",5469892.48792982,1878090.74717927,19350303.636601,228378986.698628,2088,"Vitamin B12"
"6","Indole 3 Lactic Acid",2627090.03603143,2999415.68516887,10320747.703366,106520342.89962,2027,"Phytohormone"
"7","Adenosyl Homocysteine",139602161.304066,49319799.5845963,445660016.738744,3932624552.6134,1409,"Amino Acid synthesis"
"8","Methyl B12",881724.82683556,-886461.752095561,8288614.99878232,20217020.3117283,1146,"Vitamin B12"
"9","Coenzyme B12",1638784.70648917,727153.520971373,5515729.20385193,24181443.5297012,738,"Vitamin B12"
"10","Zeatin",108111.286790706,54139.5654356443,23597.170104987,1294301.40937479,599,"Phytohormone"
"11","Pyridoxamine",6533236.67935848,-1075394.84813555,37788709.1611507,67042778.8382452,513,"Vitamin"
"12","Cys-Gly",367950.263596111,-66280.7803468849,1407268.70246578,3452530.94719,469,"New"
"13","GA4",154000.036468945,33044.9148621698,3102.69957804739,690268.142651099,224,"Phytohormone"
"14","Vitamin B7",4884056.91001063,3127851.34320995,1283197.3155751,20299576.4359161,208,"Vitamin"
"15","Kinetin",236206630.76782,116966668.021241,64615248.43281,569711988.072498,121,"Phytohormone"
"16","IAA",27252158.8120888,13062925.9247025,7712736.08611375,59126226.6064759,108,"Phytohormone"
"17","3 Indolebutyric Acid",8236570.37641148,4267208.05516992,2251251.88624773,17587438.7004014,107,"Phytohormone"
"18","Indole 3 acetamide",67269663.3185624,36643013.4502272,19506213.0895346,139404069.915509,104,"Phytohormone"
"19","Vanillin",25025259.3846416,14549401.2898442,12523291.436598,50445730.2866636,101,"Lignin"
"20","Abscisic Acid",8872753.26907306,5340578.33208854,3461318.69185762,16613417.2803943,94,"Phytohormone"
"21","Desthiobiotin",194798200.209486,89389308.7408347,44989407.3913591,310380181.730876,80,"Vitamin"
"22","Syringaldehyde",12213020.8315689,7184017.94594415,4372440.84799372,18791640.2852687,77,"Lignin"
"23","Sulfurol",427975900.333333,212249356.333333,109086916.333333,533467911,62,"Vitamin"
"24","Caffeine",132605156.377134,73287995.0710409,39803686.514893,159349571.843221,60,"Purine"
"25","4-hydroxybenzaldehyde",1175779.73709533,-16521.94520085,-204988.716479024,1375170.09435125,58,"Lignin"
"26","Vitamin B2",55674202.0684493,26239385.2023785,13236434.1928247,62790115.8140725,56,"Vitamin"
"27","Phenylalanine",294635091.187111,136133819.217432,70138884.7098199,307957753.415374,52,"Amino Acid"
"28","Retinoic Acid",1133833.83640412,453960.120167466,132865.811950647,1137886.90446778,50,"Vitamin rhodopsin"
"29","Kynurenine",7974942.55318497,3760444.73098374,2177777.97025759,7708558.66443934,48,"Amino Acid"
"30","Methyl indole 3 carboxylate",26641021.7347834,11902645.9051672,6129674.54236713,25398626.4284507,48,"Phytohormone"
"31","Acetovanillone",37851750.5762537,8905989.08750252,5270008.49347137,30703991.1690501,41,"Lignin"
"32","Tryptophan",32291428.498069,14027855.8485074,9238330.57757077,26611676.9949269,41,"Amino Acid"
"33","Dimethyl-benzimidazole",392617669.333333,190319701.333333,98874005.3333333,314557168,40,"Vitamin synthesis"
