"","Compound.Name","spikeafter1","spikeafter2","spikeafter3","spikebefore","percent.recovery","Group"
"1","Zeatin",108111.286790706,54139.5654356443,23597.170104987,1294301.40937479,599,"Phytohormone"
"2","DHZ",235576.777474451,216919.952769873,62159.9970372741,1082095.71317455,230,"Phytohormone"
"3","GA4",154000.036468945,33044.9148621698,3102.69957804739,690268.142651099,224,"Phytohormone"
"4","2iP",237454.212655339,105098.375348113,48112.5826408704,1013651.46152134,213,"Phytohormone"
"5","Vitamin B7",4884056.91001063,3127851.34320995,1283197.3155751,20299576.4359161,208,"Vitamin"
"6","GA3",60239.3436915882,62070.8697426279,5849.22706017437,192526.431571028,160,"Phytohormone"
"7","Kinetin",236206630.76782,116966668.021241,64615248.43281,569711988.072498,121,"Phytohormone"
"8","IAA",27252158.8120888,13062925.9247025,7712736.08611375,59126226.6064759,108,"Phytohormone"
"9","3 Indolebutyric Acid",8236570.37641148,4267208.05516992,2251251.88624773,17587438.7004014,107,"Phytohormone"
"10","Indole 3 acetamide",67269663.3185624,36643013.4502272,19506213.0895346,139404069.915509,104,"Phytohormone"
"11","Vanillin",25025259.3846416,14549401.2898442,12523291.436598,50445730.2866636,101,"Lignin"
"12","Abscisic Acid",8872753.26907306,5340578.33208854,3461318.69185762,16613417.2803943,94,"Phytohormone"
"13","Indole 3 Lactic Acid",2315779.45395591,2545677.67342446,551510.202351637,3738832.99506171,81,"Phytohormone"
"14","Desthiobiotin",194798200.209486,89389308.7408347,44989407.3913591,310380181.730876,80,"Vitamin"
"15","Syringaldehyde",12213020.8315689,7184017.94594415,4372440.84799372,18791640.2852687,77,"Lignin"
"16","Hydroxo B12",1139156.93983805,1587685.61173243,512688.922672581,1536323.17174888,67,"Vitamin B12"
"17","Sulfurol",427975900.333333,212249356.333333,109086916.333333,533467911,62,"Vitamin"
"18","Adenosyl Homocysteine",110221332.643883,43035595.7379917,24035287.1805465,134144993.288982,61,"Amino Acid synthesis"
"19","Caffeine",132605156.377134,73287995.0710409,39803686.514893,159349571.843221,60,"Purine"
"20","4-hydroxybenzaldehyde",1175779.73709533,-16521.94520085,-204988.716479024,1375170.09435125,58,"Lignin"
"21","Vitamin B2",55674202.0684493,26239385.2023785,13236434.1928247,62790115.8140725,56,"Vitamin"
"22","Phenylalanine",294635091.187111,136133819.217432,70138884.7098199,307957753.415374,52,"Amino Acid"
"23","Retinoic Acid",1133833.83640412,453960.120167466,132865.811950647,1137886.90446778,50,"Vitamin rhodopsin"
"24","Kynurenine",7974942.55318497,3760444.73098374,2177777.97025759,7708558.66443934,48,"Amino Acid"
"25","Methyl indole 3 carboxylate",26641021.7347834,11902645.9051672,6129674.54236713,25398626.4284507,48,"Phytohormone"
"26","Acetovanillone",37851750.5762537,8905989.08750252,5270008.49347137,30703991.1690501,41,"Lignin"
"27","Tryptophan",32291428.498069,14027855.8485074,9238330.57757077,26611676.9949269,41,"Amino Acid"
"28","Dimethyl-benzimidazole",392617669.333333,190319701.333333,98874005.3333333,314557168,40,"Vitamin synthesis"
"29","Ethyl 3 aminobenzoate",1071619795.47391,480515958.45098,242503732.033795,803994421.151617,38,"Lignin"
"30","3 Indolepropionic Acid",17007393.795848,3275049.99031094,1398497.59232742,11781473.3843505,35,"Phytohormone"
"31","Cyano B12",7165775.78597418,5194845.52509701,1786509.32177947,4846346.18340177,34,"Vitamin B12"
"32","HHQ",1229280376.59017,409355970.794963,180314641.400647,834146912.073548,34,"Quorum sensing"
"33","3-Indoleacetonitrile",2752757.39144302,1166635.04097823,604526.913677202,1817744.65735838,33,"Phytohormone"
"34","Acetosyringone",17191429.2566467,3510236.91693648,1672839.16028186,9658721.51081885,28,"Lignin"
"35","Arachidonic Acid",473449.061813023,242528.041291258,193339.103033489,243681.462873674,26,"Fatty Acid"
"36","Indole 3 carboxylic acid",16550942.2658635,4276472.64387415,2642006.74455491,7867184.39879287,24,"Phytohormone"
"37","Vitamin B9",36597458.6757814,26771295.9271234,10287290.9814846,14664847.2020528,20,"Vitamin"
"38","Domoic Acid",5085171.91409927,2090383.75285217,1033124.21730162,1929455.9738893,19,"Toxin "
"39","Melatonin",450782165.797481,91415486.9121214,38009792.4249597,171107193.014675,19,"Circadian"
"40","Vitamin B6",51713926.2680205,20818850.5607251,10340153.8848197,20016228.9006269,19,"Vitamin"
"41","Pyridoxamine",5982645.39834841,1337978.98816429,1892350.47050457,2121817.13379818,18,"Vitamin"
"42","Tryptophol",38284868.6245569,8302148.35060961,4122305.37898084,12789069.5766616,17,"Phytohormone"
"43","Pyridoxal",12656401.9268597,7306961.69975976,4942841.08333614,3691465.27198121,15,"Vitamin"
"44","Coenzyme B12",1791577.16987864,1256716.77733378,494365.242963673,505628.421232662,14,"Vitamin B12"
"45","Indole 3 methyl acetate",44841389.9389203,9449031.8449314,4330382.54297665,11675496.3248345,13,"Phytohormone"
"46","Camalexin",535732012.371473,109460916.699489,50977794.9701853,91175850.5808755,9,"Phytohormone"
"47","Cys-Gly",533439.361915817,99951.2930291028,132181.251380208,82543.6943977586,8,"New"
"48","DHA",1248818.91745932,337289.055398828,239179.794749013,163063.968136203,7,"Fatty Acid"
"49","Methyl B12",3200251.26738418,2049147.19231214,866766.831795778,385132.813802684,6,"Vitamin B12"
"50","Vitamin B5",6095712.53854349,3124069.11889147,1767692.15401574,711510.086310899,6,"Vitamin"
"51","trans cinnamic acid",146384831.599078,18369514.43592,-457370.873629254,13959228.9172361,5,"Lignin"
"52","trans cinnamic acid",146384831.599078,18369514.43592,-457370.873629254,13959228.9172361,5,"Trouble Compounds"
"53","Vanillic Acid",1520016.44924991,1027199.81406904,626592.646965673,136746.373856398,4,"Lignin"
"54","Coenzyme Q10",304959.417513174,175309.267177646,122017.825987896,16922.1521717178,3,"Quinone"
"55","Vitamin B3",14240946.3580603,6244804.57708723,3372086.85581871,988970.021890157,3,"Vitamin"
"56","Adenosyl Methionine",523644060.315995,83009056.4483816,88919308.6769548,21306257.2525724,2,"Amino Acid synthesis"
"57","C14-HSL",23239831.754994,10224289.5956698,3583753.01583085,642490.614347744,1,"Quorum sensing"
"58","Pyridoxal Phosphate",287324897.808088,46300557.8176606,54761243.9330178,6449253.81241951,1,"Vitamin"
"59","Thiamine monophosphate",56932176.8229616,6054897.3913556,4572939.37976074,1385461.83316571,1,"Vitamin (B1-derivative)"
"60","3OC10-HSL",163912754.285757,13181464.8445306,1902238.71808314,1233.87921926789,0,"Quorum sensing"
"61","3OC12-HSL",92906659.2889716,9167992.82850054,1381632.87250565,171.38190720091,0,"Quorum sensing"
"62","3OC6-HSL",88147411.8989822,12780707.6946344,2298190.42589376,10.5352440950248,0,"Quorum sensing"
"63","3OC8-HSL",66161305.0217114,4829726.94839999,623868.918509906,5.60720047024393,0,"Quorum sensing"
"64","3OHC12-HSL",52098374.9396616,10179297.6816572,2899827.4871564,2859.25410268142,0,"Quorum sensing"
"65","7-dehydrocholesterol",222247.227489303,60379.2633251259,37289.8698117604,173.566171916779,0,"Sterol"
"66","Aminobenzoic Acid",74867213.6666667,32540529,18730640.3333333,0,0,"Lignin"
"67","C10-HSL",30869433.1146477,5684630.87146155,1929956.61857943,44149.9160394438,0,"Quorum sensing"
"68","C12-HSL",105555728.762349,21619005.0277243,6887283.05119578,1986.4245455375,0,"Quorum sensing"
"69","C4-HSL",10833434.4184789,2894431.36407014,1289312.0522051,293.514166131282,0,"Quorum sensing"
"70","C6-HSL",78020807.6726944,13440868.9588944,3741734.12242977,888.888832440778,0,"Quorum sensing"
"71","C8-HSL",65392383.3374666,11427656.1493124,3710976.06347041,3240.961871801,0,"Quorum sensing"
"72","Carotene",2014091.85246022,1475856.67829681,928586.924615919,15703.9335703067,0,"Antioxidant pigment"
"73","cinnamoyl-HSL",31423240.3226681,5209956.46237935,1479949.60664836,12485.7598681622,0,"Quorum sensing"
"74","Coenzyme Q1",39893856.9035324,9998318.10775141,4980436.63450387,0,0,"Quinone"
"75","Dimethyl glycine",54876685.8048728,41149020.1470419,24268630.4612551,303335.369640401,0,"Amino Acid derivative"
"76","EPA",1077578.10640169,144504.842657891,322210.739054178,0,0,"Fatty Acid"
"77","Ergosterol",832129.69807837,260856.457007562,182967.290176843,164.952067823498,0,"Sterol"
"78","Glutathione",9136879.52819533,1588839.38951407,1402540.53453397,314.338807877647,0,"Antioxidant"
"79","Methylthioadenosine",-1635231.66666667,-1635231.66666667,1343788413.66667,0,0,"New"
"80","Monesin",13357612.0254982,2797535.42694883,857871.007013738,98658.3165764251,0,"Antibiotic"
"81","p-Coumoroyl-HSL",71095953.6393129,11365985.4342462,3414376.84553147,26.2653074658796,0,"Quorum sensing"
"82","Syringic Acid",11063243.4270956,6307990.94606331,3058769.42923107,18434.7309140682,0,"Lignin"
"83","thiamine pyrophosphate",133848221.701252,33534742.2071418,8712308.53962409,492057.590241254,0,"Vitamin (B1-derivative)"
"84","Tocopherol (Vit E)",669753.258034081,109312.294980018,20666.0493730578,7.43702154637235,0,"Vitamin (fat soluble)"
"85","Tocotrienol",981068.740166396,254202.735934581,59234.8132387892,301.975177034018,0,"Vitamin (fat soluble)"
"86","trans Retinal",2323349.87806738,604364.347209018,264599.168802206,2128.43468111016,0,"Vitamin rhodopsin"
"87","Tryptamine",8684507.82384514,4069341.45106503,1692409.60866289,11691.1756084188,0,"Phytohormone"
"88","Vitamin B1",75166162.9760679,43590943.9662784,760138.477563126,130935.65405731,0,"Vitamin"
"89","Vitamin B1_IS",78559462.9361237,128871562.9554,2715853.06451585,0,0,"Internal Std"
"90","Vitamin D2",1364055.50665546,411990.742901632,287025.616622803,82.7168007963434,0,"Vitamin (fat soluble)"
"91","Vitamin K1",298325.237418163,66979.2313217854,43244.3219743273,505.533389764624,0,"Quinone"
"92","Vitamin K2",345264.601588948,102442.993078266,76894.3856416355,139.858808073509,0,"Quinone"
"93","d-IAA",0,0,0,0,NA,"Internal Std"
"94","D-Phenylalanine",0,0,0,0,NA,"Internal Std"
"95","D-Tryptophan",0,0,0,0,NA,"Internal Std"
"96","D3-Pyridoxal",0,0,0,0,NA,"Internal Std"
"97","d4-Tryptamine",0,0,0,0,NA,"Internal Std"
"98","D5-DHA",0,0,0,0,NA,"Internal Std"
"99","D5-EPA",0,0,0,0,NA,"Internal Std"
"100","D6-Tocopherol",0,0,0,0,NA,"Internal Std"
"101","D8-Arachidonic Acid",0,0,0,0,NA,"Internal Std"
"102","Vitamin B2_IS",0,0,0,0,NA,"Internal Std"
