"","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","Run.Cmpd","runDate","type","SampID","replicate","inj.vol.Norm.Area","13C Acetyl CoA.Norm.Area","13C-Isethionic Acid.Norm.Area","13C-Sulfoacetic Acid.Norm.Area","13C-Sulfolactic Acid.Norm.Area","d3-Cysteic Acid.Norm.Area","d4 Succinic Acid.Norm.Area","d4 Taurine.Norm.Area","D-Methionine.Norm.Area","Heavy Alanine.Norm.Area","Heavy Histidine.Norm.Area","Heavy Isoleucine.Norm.Area","Heavy Proline.Norm.Area","Heavy Valine.Norm.Area","15N GMP.Norm.Area","15N AMP.Norm.Area","PooModel.IS","SmpModel.IS","PooPlusModel.IS","PooModel","SmpModel","PooPlusModel"
"1","170712_Smp_nospike_1","Alanine",11.12,"comparable to blk",221784,-93294,12729,NA,"170712_Smp_nospike_1 Alanine","170712","Smp","nospike","1",221784,581141.863470631,189278.085787016,289684.074643819,264024.952465937,270114.27226992,187311.60018147,176878.96548793,218750.558174958,253294.051604954,394840.502865976,477418.68455235,238931.041853609,180499.324999152,263515.533511016,246067.561653972,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",176878.96548793,221784,253294.051604954
"2","170712_Smp_nospike_2","Alanine",11.38,"comparable to blk",221784,-111717,25337,NA,"170712_Smp_nospike_2 Alanine","170712","Smp","nospike","2",221784,668726.849270838,194221.706424938,219555.008278194,211519.324978916,201640.563052877,190194.42689873,198060.889726552,195278.945854661,188334.336621075,284125.288951962,455815.057274217,187767.258555378,147694.397682626,204350.41700325,219162.442320038,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",198060.889726552,221784,188334.336621075
"3","170712_Smp_nospike_3","Alanine",11.48,"comparable to blk",221784,-121637,16620,NA,"170712_Smp_nospike_3 Alanine","170712","Smp","nospike","3",221784,477509.851123281,160097.64039492,205968.62261343,229092.534208284,238343.408464532,214199.311513761,164372.964289375,226641.430014765,235042.233378712,331925.94730059,530533.257399073,223666.444564113,163140.210855357,197833.264045224,249097.912889102,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",164372.964289375,221784,235042.233378712
"4","170712_Smp_spikeafter1_a","Alanine",11.35,NA,46560872,46339088,4208390,NA,"170712_Smp_spikeafter1_a Alanine","170712","Smp","spikeafter1","a",46560872,29976631.085916,55769365.4006473,44575014.6057099,44602713.5919593,55542229.8099985,48419778.4963287,55106656.1227821,42698477.834671,38667103.6558167,40984027.796097,24093911.5731113,38094019.2447156,43693925.3954044,53655242.6688269,45574492.0250055,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",55106656.1227821,46560872,38667103.6558167
"5","170712_Smp_spikeafter1_b","Alanine",11.35,NA,45552240,45330456,4227126,NA,"170712_Smp_spikeafter1_b Alanine","170712","Smp","spikeafter1","b",45552240,25447408.9267053,57686890.2566352,41305536.5233008,32530494.1185966,34785445.6713712,39013345.1418383,78280346.8554443,39932567.2773485,40533427.3462483,34086459.0268121,23377965.2503905,36012508.3367952,44171134.8671971,40359316.2093568,40219492.8668615,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",78280346.8554443,45552240,40533427.3462483
"6","170712_Smp_spikeafter1_c","Alanine",11.35,NA,47061248,46839464,4380949,NA,"170712_Smp_spikeafter1_c Alanine","170712","Smp","spikeafter1","c",47061248,18576732.2197737,44920788.9403824,30642722.3119087,30548864.7671215,30020736.7389631,39488557.9685008,42322808.6781739,38761858.4896512,37902877.6586365,27292529.1547241,23642749.3760469,35798366.2051957,39777250.8447136,33274220.1434406,32938485.9397666,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",42322808.6781739,47061248,37902877.6586365
"7","170712_Smp_spikeafter2_a","Alanine",11.36,NA,24011768,23789984,2224042,NA,"170712_Smp_spikeafter2_a Alanine","170712","Smp","spikeafter2","a",24011768,17372744.9178943,25612860.3099449,20448599.7778853,21206805.6977046,17993099.8772585,21391288.0043189,19933431.4193423,19176800.7227558,18741417.3110953,20850792.4514342,19057841.4837012,18126275.6884638,20397951.1557381,17236995.1643034,18915793.6823116,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",19933431.4193423,24011768,18741417.3110953
"8","170712_Smp_spikeafter2_b","Alanine",11.35,NA,23417026,23195242,2211162,NA,"170712_Smp_spikeafter2_b Alanine","170712","Smp","spikeafter2","b",23417026,13871573.118982,22771593.7370008,21176316.5737167,16804663.5027471,17793472.9506725,23683337.4076382,23808013.6769952,18575876.7821795,18588493.5980447,16742221.9568688,19259592.0218414,17767936.7156721,18854001.9801062,17908572.4565264,18159363.1052271,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",23808013.6769952,23417026,18588493.5980447
"9","170712_Smp_spikeafter2_c","Alanine",11.36,NA,23853910,23632126,2120715,NA,"170712_Smp_spikeafter2_c Alanine","170712","Smp","spikeafter2","c",23853910,13198770.290518,18309258.6821274,14002194.952544,15428519.1087237,13229065.8046621,17606188.7815487,18325019.6055799,18369916.3414612,18762426.4993862,14593111.0330921,19510665.3419099,19045656.7092129,17803693.2704992,17287548.1084831,15507992.7045628,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",18325019.6055799,23853910,18762426.4993862
"10","170712_Smp_spikeafter3_a","Alanine",11.38,NA,12054077,11832293,1115028,NA,"170712_Smp_spikeafter3_a Alanine","170712","Smp","spikeafter3","a",12054077,13985747.5688407,10095777.4209387,9630864.48281911,10661884.5906157,11960180.0228503,9265151.29368025,9933049.92576593,10009877.5329157,10128956.4206524,10845771.9971542,13587257.2321893,9172746.01058575,10069948.4233319,10014560.7737983,10064236.7690552,"d4 Taurine.Norm.Area","inj.vol.Norm.Area","Heavy Alanine.Norm.Area",9933049.92576593,12054077,10128956.4206524
