# Hello! welcome to your data! Overload height: 1e+08. RT flexibility: 0.4. Ion ratio flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N threshold: 4. Minimum peak height: 1000. Processed on: 2017-07-17 11:21:18,,,,,,,,,,,
,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Area.BlkSub,Height,IR,S.N,BlkRatio,rawArea
1,170712_Poo_TruePoo_Full1,Alanine,11.31,,7941768,7719984,600309,NA,128.3270165,0.027926275,7941768
2,170712_Poo_TruePoo_Full2,Alanine,11.35,,8296895,8075111,793653,NA,146.388666,0.026730964,8296895
3,170712_Poo_TruePoo_Full3,Alanine,11.35,,7289087,7067303,702928,NA,11028.36309,0.030426856,7289087
4,170712_Poo_TruePoo_Half1,Alanine,11.38,,6825063,6603279,611076,NA,50.39755801,0.032495524,6825063
5,170712_Poo_TruePoo_Half2,Alanine,11.33,,7141702,6919918,626734,NA,124.5182552,0.031054782,7141702
6,170712_Poo_TruePoo_Half3,Alanine,11.36,,6930046,6708262,617752,NA,59.69289338,0.032003251,6930046
7,170712_Smp_SPEpH5-nospike_1,Alanine,11.12,comparable to blk,NA,-93294,12729,NA,Inf,1.726079851,128490
8,170712_Smp_SPEpH5-nospike_2,Alanine,11.38,comparable to blk,NA,-111717,25337,NA,Inf,2.014990869,110067
9,170712_Smp_SPEpH5-nospike_3,Alanine,11.48,comparable to blk,NA,-121637,16620,NA,Inf,2.214584561,100147
10,170712_Smp_SPEpH5-spikeafter_1a,Alanine,11.35,,46560872,46339088,4208390,NA,124.6249688,0.004763313,46560872
11,170712_Smp_SPEpH5-spikeafter_1b,Alanine,11.35,,45552240,45330456,4227126,NA,62.10818367,0.004868784,45552240
12,170712_Smp_SPEpH5-spikeafter_1c,Alanine,11.35,,47061248,46839464,4380949,NA,124.1006307,0.004712667,47061248
13,170712_Smp_SPEpH5-spikeafter_2a,Alanine,11.36,,24011768,23789984,2224042,NA,95.5456865,0.009236471,24011768
14,170712_Smp_SPEpH5-spikeafter_2b,Alanine,11.35,,23417026,23195242,2211162,NA,80.50237145,0.009471058,23417026
15,170712_Smp_SPEpH5-spikeafter_2c,Alanine,11.36,,23853910,23632126,2120715,NA,49.40750203,0.009297595,23853910
16,170712_Smp_SPEpH5-spikeafter_3a,Alanine,11.38,,12054077,11832293,1115028,NA,74.18630391,0.018399086,12054077
17,170712_Smp_SPEpH5-spikeafter_3b,Alanine,11.33,,11279283,11057499,875556,NA,134.9311897,0.019662952,11279283
18,170712_Smp_SPEpH5-spikeafter_3c,Alanine,11.35,,10307552,10085768,1137991,NA,37.51883948,0.021516651,10307552
19,170712_Smp_SPEpH5-spikebefore_1,Alanine,11.27,comparable to blk,NA,-119111,7828,NA,Inf,2.160100513,102673
20,170712_Smp_SPEpH5-spikebefore_2,Alanine,11.22,comparable to blk,NA,-110506,17364,NA,Inf,1.99306242,111278
21,170712_Smp_SPEpH5-spikebefore_3,Alanine,11.23,comparable to blk,NA,-85346,13907,NA,Inf,1.625529545,136438
22,170712_Poo_TruePoo_Full1,Arginine,18.61,,131780080,116469139,5199944,3.396750648,32.55677438,0.116185549,131780080
23,170712_Poo_TruePoo_Full2,Arginine,18.58,,134717952,119407011,5319105,3.367467926,32.43463098,0.113651824,134717952
24,170712_Poo_TruePoo_Full3,Arginine,18.61,,137939248,122628307,5328857,3.40996058,36.62034404,0.110997713,137939248
25,170712_Poo_TruePoo_Half1,Arginine,18.6,,83380112,68069171,3477104,3.344816412,36.44262069,0.183628213,83380112
26,170712_Poo_TruePoo_Half2,Arginine,18.63,,84115128,68804187,3334883,3.398271936,35.32684873,0.182023631,84115128
27,170712_Poo_TruePoo_Half3,Arginine,18.62,,84847584,69536643,3420355,3.38152185,30.87428992,0.180452292,84847584
28,170712_Smp_SPEpH5-nospike_1,Arginine,18.51,comparable to blk,NA,2883049,555429,3.346422412,13.49693655,0.841538387,18193990
29,170712_Smp_SPEpH5-nospike_2,Arginine,18.49,comparable to blk,NA,-300931,320872,3.501007618,9.19800266,1.020048688,15010010
30,170712_Smp_SPEpH5-nospike_3,Arginine,18.535,comparable to blk,NA,-543460,314543,3.363646469,10.11310196,1.036801131,14767481
31,170712_Smp_SPEpH5-spikeafter_1a,Arginine,18.55,,502923328,487612387,22918526,3.355259805,42.9944973,0.030443887,502923328
32,170712_Smp_SPEpH5-spikeafter_1b,Arginine,18.59,,599377408,584066467,27820902,3.363493579,45.59218692,0.025544742,599377408
33,170712_Smp_SPEpH5-spikeafter_1c,Arginine,18.635,,845442496,830131555,37229656,3.400122595,50.73869355,0.018109973,845442496
34,170712_Smp_SPEpH5-spikeafter_2a,Arginine,18.58,,247113216,231802275,11096516,3.362764994,37.39287892,0.061959215,247113216
35,170712_Smp_SPEpH5-spikeafter_2b,Arginine,18.61,,303531840,288220899,12873109,3.368664756,40.94234693,0.050442619,303531840
36,170712_Smp_SPEpH5-spikeafter_2c,Arginine,18.655,,437119680,421808739,18197004,3.389497673,42.20981517,0.035026886,437119680
37,170712_Smp_SPEpH5-spikeafter_3a,Arginine,18.55,,135369136,120058195,5898145,3.372063008,26.42700644,0.11310511,135369136
38,170712_Smp_SPEpH5-spikeafter_3b,Arginine,18.625,,169164304,153853363,7099434,3.386249455,36.38673479,0.09050929,169164304
39,170712_Smp_SPEpH5-spikeafter_3c,Arginine,18.66,,245928352,230617411,10209460,3.402289595,35.68721801,0.06225773,245928352
40,170712_Smp_SPEpH5-spikebefore_1,Arginine,18.425,comparable to blk,NA,-3141897,261871,3.381726294,8.047140211,1.25818766,12169044
41,170712_Smp_SPEpH5-spikebefore_2,Arginine,18.23,comparable to blk,NA,1571045,383864,3.33719187,8.909928322,0.906939563,16881986
42,170712_Smp_SPEpH5-spikebefore_3,Arginine,18.535,comparable to blk,NA,8390623,666183,3.348133461,11.81979115,0.645988636,23701564
43,170712_Poo_TruePoo_Full1,Asparagine,11.26,Bad IRbad S/N,NA,1287324,126456,0.526339183,3.721013547,0.011719728,1302590
44,170712_Poo_TruePoo_Full2,Asparagine,11.195,bad S/N,NA,1036687,97587,0.413667932,2.71644862,0.014512055,1051953
45,170712_Poo_TruePoo_Full3,Asparagine,11.21,Bad IRbad S/N,NA,1094536,112678,0.482026331,2.756844208,0.013755607,1109802
46,170712_Poo_TruePoo_Half1,Asparagine,11.36,bad S/N,NA,558379,34578,0.304916553,1.522903014,0.026612278,573645
47,170712_Poo_TruePoo_Half2,Asparagine,11.3,Bad IRbad S/N,NA,1089444,61954,0.486156311,3.164425914,0.013819011,1104710
48,170712_Poo_TruePoo_Half3,Asparagine,11.32,Bad IRbad S/N,NA,1189669,56135,0.573196368,3.354685589,0.012669563,1204935
49,170712_Smp_SPEpH5-nospike_1,Asparagine,11.375,Bad IRbad S/N,NA,42663,18376,0.956729261,1.410616822,0.263529493,57929
50,170712_Smp_SPEpH5-nospike_2,Asparagine,11.495,Bad IRbad S/N,NA,92188,11853,37.49267271,2.070866926,0.142070095,107454
51,170712_Smp_SPEpH5-nospike_3,Asparagine,11.43,Bad IRcomparable to blkbad S/N,NA,2015,6270,0.496851729,1.086562544,0.883397952,17281
52,170712_Smp_SPEpH5-spikeafter_1a,Asparagine,11.34,,5162903,5147637,394584,0.368930442,5.118257553,0.002956864,5162903
53,170712_Smp_SPEpH5-spikeafter_1b,Asparagine,11.28,Bad IR,6852643,6837377,489103,0.48221211,25.58250257,0.002227754,6852643
54,170712_Smp_SPEpH5-spikeafter_1c,Asparagine,11.195,Bad IR,8071752,8056486,655872,0.502328819,11.35045682,0.001891287,8071752
55,170712_Smp_SPEpH5-spikeafter_2a,Asparagine,11.32,,2686013,2670747,189424,0.369140067,4.354568423,0.005683517,2686013
56,170712_Smp_SPEpH5-spikeafter_2b,Asparagine,11.29,,3014834,2999568,206892,0.405121175,5.484011351,0.005063629,3014834
57,170712_Smp_SPEpH5-spikeafter_2c,Asparagine,11.24,,3443695,3428429,257930,0.445229411,5.88761326,0.004433029,3443695
58,170712_Smp_SPEpH5-spikeafter_3a,Asparagine,11.35,Bad IR,1914391,1899125,130178,0.633667833,17.73272441,0.007974338,1914391
59,170712_Smp_SPEpH5-spikeafter_3b,Asparagine,11.26,,1617892,1602626,169741,0.444438096,4.183949305,0.009435735,1617892
60,170712_Smp_SPEpH5-spikeafter_3c,Asparagine,11.17,Bad IR,1826686,1811420,95513,0.553466746,7.416336194,0.008357211,1826686
61,170712_Smp_SPEpH5-spikebefore_1,Asparagine,11.5,Bad IRbad S/N,NA,175713,23225,4.499022356,3.679128556,0.07993549,190979
62,170712_Smp_SPEpH5-spikebefore_2,Asparagine,11.235,Bad IRbad S/N,NA,77258,14425,2.80537279,1.66563071,0.164995028,92524
63,170712_Smp_SPEpH5-spikebefore_3,Asparagine,11.18,Bad IRcomparable to blkbad S/N,NA,25702,11455,1.308756349,1.260287811,0.372632298,40968
64,170712_Poo_TruePoo_Full1,Aspartic acid,12.19,Bad IR,619680,556224,42849,0.74221618,6.408556915,0.102401239,619680
65,170712_Poo_TruePoo_Full2,Aspartic acid,12.16,,717443,653987,43372,1.238623612,7.714676126,0.088447445,717443
66,170712_Poo_TruePoo_Full3,Aspartic acid,12.21,,511129,447673,42370,1.160159158,3.746233613,0.124148698,511129
67,170712_Poo_TruePoo_Half1,Aspartic acid,12.275,Bad IRbad S/N,NA,410057,25994,0.376223188,2.664035677,0.134011104,473513
68,170712_Poo_TruePoo_Half2,Aspartic acid,12.23,Bad IRcomparable to blkbad S/N,NA,50427,10321,0.332096897,1.822895667,0.557203446,113883
69,170712_Poo_TruePoo_Half3,Aspartic acid,12.225,Bad IR,NA,420466,38649,0.936528365,358.9304734,0.13112857,483922
70,170712_Smp_SPEpH5-nospike_1,Aspartic acid,12.28,Bad IRtoo small,NA,-61019,893,0.009345472,Inf,26.03857201,2437
71,170712_Smp_SPEpH5-nospike_2,Aspartic acid,12.09,Bad IRcomparable to blk,NA,-11234,8552,0.055804659,Inf,1.215120064,52222
72,170712_Smp_SPEpH5-nospike_3,Aspartic acid,12.175,Bad IRcomparable to blk,NA,69407,8388,0.592680653,Inf,0.477604751,132863
73,170712_Smp_SPEpH5-spikeafter_1a,Aspartic acid,12.25,,3216579,3153123,150791,1.525115062,33.05583847,0.019727792,3216579
74,170712_Smp_SPEpH5-spikeafter_1b,Aspartic acid,12.165,,3578253,3514797,168298,0.996142379,13.19241044,0.017733794,3578253
75,170712_Smp_SPEpH5-spikeafter_1c,Aspartic acid,12.125,,3383666,3320210,199794,1.425176132,6.955711464,0.018753624,3383666
76,170712_Smp_SPEpH5-spikeafter_2a,Aspartic acid,12.225,Bad IR,1473360,1409904,108173,0.814899335,12.5240397,0.043068904,1473360
77,170712_Smp_SPEpH5-spikeafter_2b,Aspartic acid,12.155,,1836367,1772911,83793,1.105289039,Inf,0.034555184,1836367
78,170712_Smp_SPEpH5-spikeafter_2c,Aspartic acid,12.115,,2222282,2158826,110890,1.254042957,23.13362151,0.028554432,2222282
79,170712_Smp_SPEpH5-spikeafter_3a,Aspartic acid,12.26,Bad IR,771738,708282,50576,0.756338198,7.105667065,0.082224796,771738
80,170712_Smp_SPEpH5-spikeafter_3b,Aspartic acid,12.17,,682238,618782,33052,0.978857174,4.826177177,0.09301153,682238
81,170712_Smp_SPEpH5-spikeafter_3c,Aspartic acid,12.195,,959007,895551,39183,1.095642368,14.69149392,0.066168443,959007
82,170712_Smp_SPEpH5-spikebefore_1,Aspartic acid,12.75,Bad IRcomparable to blk,NA,4192,9582,0.204398088,Inf,0.938032167,67648
83,170712_Smp_SPEpH5-spikebefore_2,Aspartic acid,12.49,Bad IRcomparable to blk,NA,32952,15369,0.241246772,Inf,0.658202639,96408
84,170712_Smp_SPEpH5-spikebefore_3,Aspartic acid,12.165,Bad IRcomparable to blkbad S/N,NA,44316,11320,0.454214801,2.137951788,0.588798575,107772
85,170712_Poo_TruePoo_Full1,Cystine,12.485,,2050583,2040517,141433,1.202616736,Inf,0.004908848,2050583
86,170712_Poo_TruePoo_Full2,Cystine,12.475,,2164269,2154203,144842,1.161828998,Inf,0.004650993,2164269
87,170712_Poo_TruePoo_Full3,Cystine,12.45,,2213553,2203487,163694,1.336678522,139.841686,0.00454744,2213553
88,170712_Poo_TruePoo_Half1,Cystine,12.505,,1391689,1381623,63565,1.286245192,Inf,0.007232938,1391689
89,170712_Poo_TruePoo_Half2,Cystine,12.595,,1185516,1175450,75843,0.970033687,Inf,0.008490818,1185516
90,170712_Poo_TruePoo_Half3,Cystine,12.555,,1483202,1473136,106288,1.119614899,9.201056095,0.006786668,1483202
91,170712_Smp_SPEpH5-nospike_1,Cystine,NA,Bad RTBad IR,NA,6301,5135,Inf,Inf,0.615018024,16367
92,170712_Smp_SPEpH5-nospike_2,Cystine,NA,Bad RTBad IR,NA,26759,7640,47.03065134,Inf,0.273346911,36825
93,170712_Smp_SPEpH5-nospike_3,Cystine,12.355,Bad IRcomparable to blk,NA,-4742,1116,Inf,Inf,1.890683696,5324
94,170712_Smp_SPEpH5-spikeafter_1a,Cystine,12.595,,9844438,9834372,652245,1.020358057,168.5135788,0.001022506,9844438
95,170712_Smp_SPEpH5-spikeafter_1b,Cystine,12.535,,14111814,14101748,1144155,1.033903196,68.51611854,0.000713303,14111814
96,170712_Smp_SPEpH5-spikeafter_1c,Cystine,12.43,,19069050,19058984,1521058,1.15543054,Inf,0.000527871,19069050
97,170712_Smp_SPEpH5-spikeafter_2a,Cystine,12.61,,5302689,5292623,365761,1.190848546,64.40502439,0.001898282,5302689
98,170712_Smp_SPEpH5-spikeafter_2b,Cystine,12.5,,6264632,6254566,470515,1.105059104,84.32954681,0.001606798,6264632
99,170712_Smp_SPEpH5-spikeafter_2c,Cystine,12.41,,7808758,7798692,571022,1.108360225,40.2620872,0.001289065,7808758
100,170712_Smp_SPEpH5-spikeafter_3a,Cystine,12.58,,2278833,2268767,154263,0.99924755,92.71461343,0.004417173,2278833
101,170712_Smp_SPEpH5-spikeafter_3b,Cystine,12.48,,3176221,3166155,211996,1.003527267,49.03722021,0.003169175,3176221
102,170712_Smp_SPEpH5-spikeafter_3c,Cystine,12.385,,4069625,4059559,319380,1.087716227,60.65879938,0.002473447,4069625
103,170712_Smp_SPEpH5-spikebefore_1,Cystine,NA,Bad RT,NA,-4187,1669,0.94654645,Inf,1.712195952,5879
104,170712_Smp_SPEpH5-spikebefore_2,Cystine,NA,Bad RTBad IR,NA,22585,3080,Inf,34.31734694,0.308290711,32651
105,170712_Smp_SPEpH5-spikebefore_3,Cystine,NA,Bad RTBad IRtoo small,NA,-10066,0,0,NA,Inf,0
106,170712_Poo_TruePoo_Full1,Glutamic acid,11.915,,7666822,7420584,662806,2.454717621,468.8029166,0.032117349,7666822
107,170712_Poo_TruePoo_Full2,Glutamic acid,11.925,,6516700,6270462,676772,1.91386534,19.86290549,0.037785689,6516700
108,170712_Poo_TruePoo_Full3,Glutamic acid,11.925,,6518183,6271945,654967,2.120470785,28.22125102,0.037777092,6518183
109,170712_Poo_TruePoo_Half1,Glutamic acid,11.99,,5550357,5304119,441424,1.512343196,121.5289251,0.044364354,5550357
110,170712_Poo_TruePoo_Half2,Glutamic acid,11.955,,5790338,5544100,467346,1.763605928,24.57293545,0.042525669,5790338
111,170712_Poo_TruePoo_Half3,Glutamic acid,11.955,,5846301,5600063,542352,2.235906597,25.57430549,0.042118598,5846301
112,170712_Smp_SPEpH5-nospike_1,Glutamic acid,12.46,Bad IRcomparable to blk,NA,-233539,2913,0.107860874,Inf,19.3903457,12699
113,170712_Smp_SPEpH5-nospike_2,Glutamic acid,NA,Bad RTBad IR,NA,-185533,6968,0.363764382,Inf,4.056305082,60705
114,170712_Smp_SPEpH5-nospike_3,Glutamic acid,12.14,Bad IRcomparable to blk,NA,98796,34987,0.715231266,13.19761728,0.713663001,345034
115,170712_Smp_SPEpH5-spikeafter_1a,Glutamic acid,12.045,,31399826,31153588,2770194,1.84079314,30.57404289,0.007842018,31399826
116,170712_Smp_SPEpH5-spikeafter_1b,Glutamic acid,11.955,,38353232,38106994,3624493,2.105095284,43.34398302,0.006420267,38353232
117,170712_Smp_SPEpH5-spikeafter_1c,Glutamic acid,11.88,,42006776,41760538,4036555,2.083071595,28.82628073,0.005861864,42006776
118,170712_Smp_SPEpH5-spikeafter_2a,Glutamic acid,12.025,,17059364,16813126,1577745,1.973531709,29.04667825,0.014434184,17059364
119,170712_Smp_SPEpH5-spikeafter_2b,Glutamic acid,11.955,,18651616,18405378,1832417,2.052320506,45.5859981,0.013201966,18651616
120,170712_Smp_SPEpH5-spikeafter_2c,Glutamic acid,11.875,,21644534,21398296,1919724,2.058801669,54.85163549,0.011376452,21644534
121,170712_Smp_SPEpH5-spikeafter_3a,Glutamic acid,12.015,,8004420,7758182,790176,1.917748159,40.28607538,0.030762754,8004420
122,170712_Smp_SPEpH5-spikeafter_3b,Glutamic acid,11.94,,10177583,9931345,1039707,1.887758706,38.35509717,0.024194153,10177583
123,170712_Smp_SPEpH5-spikeafter_3c,Glutamic acid,11.87,,10720622,10474384,855278,1.945041258,63.07871727,0.02296863,10720622
124,170712_Smp_SPEpH5-spikebefore_1,Glutamic acid,12.08,Bad IRcomparable to blk,NA,-19821,24175,1.182710942,51.59597765,1.087542013,226417
125,170712_Smp_SPEpH5-spikebefore_2,Glutamic acid,11.975,Bad IRcomparable to blkbad S/N,NA,-95606,9874,0.411506625,2.187734086,1.634699134,150632
126,170712_Smp_SPEpH5-spikebefore_3,Glutamic acid,12.045,Bad IRcomparable to blkbad S/N,NA,-21492,25937,0.936664124,2.439313984,1.095627953,224746
127,170712_Poo_TruePoo_Full1,Glutamine,11.43,,25323150,25082483,2280657,0.980539487,32.30628125,0.009503833,25323150
128,170712_Poo_TruePoo_Full2,Glutamine,11.39,,23409184,23168517,2084988,1.003178485,22.82289927,0.01028088,23409184
129,170712_Poo_TruePoo_Full3,Glutamine,11.405,,20933708,20693041,1934220,0.902962097,21.30541776,0.011496625,20933708
130,170712_Poo_TruePoo_Half1,Glutamine,11.465,,19894628,19653961,1448285,0.94868073,22.55400628,0.012097085,19894628
131,170712_Poo_TruePoo_Half2,Glutamine,11.45,,22848346,22607679,1556396,0.951083781,33.84582763,0.010533235,22848346
132,170712_Poo_TruePoo_Half3,Glutamine,11.485,,22083342,21842675,1550248,0.99039125,18.91581813,0.010898124,22083342
