"X1","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","S.N","BlkRatio","rawArea"
7,"170720_Smp_SPEpH2-nospike_1","Alanine",11.38,"comparable to blkbad S/N",36861,64347,18624,NA,1.582945022,0.364210339,101208
8,"170720_Smp_SPEpH2-nospike_2","Alanine",11.27,NA,36861,240653,30128,NA,Inf,0.132825731,277514
9,"170720_Smp_SPEpH2-nospike_3","Alanine",11.17,NA,36861,114019,24727,NA,5.093881427,0.244306734,150880
10,"170720_Smp_SPEpH2-spikeafter_1a","Alanine",11.3,NA,54545608,54508747,4798851,NA,72.40028877,0.000675783,54545608
11,"170720_Smp_SPEpH2-spikeafter_1b","Alanine",11.3,NA,55067536,55030675,5065619,NA,67.71262496,0.000669378,55067536
12,"170720_Smp_SPEpH2-spikeafter_1c","Alanine",11.3,NA,53710944,53674083,4827636,NA,73.44099892,0.000686285,53710944
13,"170720_Smp_SPEpH2-spikeafter_2a","Alanine",11.3,NA,31648746,31611885,2856712,NA,79.20877752,0.001164691,31648746
14,"170720_Smp_SPEpH2-spikeafter_2b","Alanine",11.31,NA,30600398,30563537,2800811,NA,72.03816046,0.001204592,30600398
15,"170720_Smp_SPEpH2-spikeafter_2c","Alanine",11.3,NA,30049268,30012407,2785943,NA,114.470967,0.001226685,30049268
16,"170720_Smp_SPEpH2-spikeafter_3a","Alanine",11.3,NA,15185051,15148190,1440239,NA,711.2456034,0.002427453,15185051
17,"170720_Smp_SPEpH2-spikeafter_3b","Alanine",11.3,NA,16196347,16159486,1414681,NA,48.92697773,0.002275884,16196347
18,"170720_Smp_SPEpH2-spikeafter_3c","Alanine",11.3,NA,15035511,14998650,1333952,NA,239.2089545,0.002451596,15035511
19,"170720_Smp_SPEpH2-spikebefore_1","Alanine",11.45,NA,36861,136915,20321,NA,38.82673052,0.212117899,173776
20,"170720_Smp_SPEpH2-spikebefore_2","Alanine",11.22,NA,36861,217954,21437,NA,41.75735765,0.144657889,254815
21,"170720_Smp_SPEpH2-spikebefore_3","Alanine",11.19,NA,36861,222811,20100,NA,Inf,0.141952155,259672
43,"170720_Smp_SPEpH2-nospike_1","Arginine",18.34,"comparable to blk",8698919,8797139,398235,3.326130417,9.355563982,0.497193082,17496058
44,"170720_Smp_SPEpH2-nospike_2","Arginine",18.325,"comparable to blk",8698919,9904169,428949,3.219696007,9.190527598,0.467606185,18603088
45,"170720_Smp_SPEpH2-nospike_3","Arginine",18.17,"comparable to blk",8698919,9345577,387903,3.29446673,8.374395156,0.482081572,18044496
46,"170720_Smp_SPEpH2-spikeafter_1a","Arginine",18.34,NA,1098391040,1089692121,46131068,3.188541556,42.60550058,0.007919692,1098391040
47,"170720_Smp_SPEpH2-spikeafter_1b","Arginine",18.325,NA,1118886912,1110187993,47512812,3.21753849,42.50974947,0.007774619,1118886912
48,"170720_Smp_SPEpH2-spikeafter_1c","Arginine",18.17,NA,1130701056,1122002137,47848056,3.21718478,42.15842554,0.007693385,1130701056
49,"170720_Smp_SPEpH2-spikeafter_2a","Arginine",18.34,NA,632143552,623444633,26862602,3.197585408,37.92091723,0.013760987,632143552
50,"170720_Smp_SPEpH2-spikeafter_2b","Arginine",18.325,NA,632462784,623763865,26741538,3.209173501,35.53027028,0.013754041,632462784
51,"170720_Smp_SPEpH2-spikeafter_2c","Arginine",18.17,NA,600666688,591967769,25451728,3.220469886,36.7374282,0.014482107,600666688
52,"170720_Smp_SPEpH2-spikeafter_3a","Arginine",18.34,NA,327458816,318759897,13395124,3.191984454,34.34643081,0.026564925,327458816
53,"170720_Smp_SPEpH2-spikeafter_3b","Arginine",18.325,NA,344183200,335484281,13950187,3.22211664,31.68999232,0.025274095,344183200
54,"170720_Smp_SPEpH2-spikeafter_3c","Arginine",18.17,NA,345514176,336815257,14013431,3.229397569,30.4883353,0.025176735,345514176
55,"170720_Smp_SPEpH2-spikebefore_1","Arginine",18.14,"comparable to blk",8698919,7206488,358809,3.463326585,9.080303615,0.546915838,15905407
56,"170720_Smp_SPEpH2-spikebefore_2","Arginine",18.22,"comparable to blk",8698919,6317466,327336,3.240920755,8.836171542,0.57929515,15016385
57,"170720_Smp_SPEpH2-spikebefore_3","Arginine",18.29,"comparable to blk",8698919,11999519,459941,3.180362927,9.172308156,0.420269346,20698438
79,"170720_Smp_SPEpH2-nospike_1","Asparagine",11.825,"Bad IRcomparable to blkbad S/N",225236,-96786,14235,2.461057996,1.472626656,1.753491631,128450
80,"170720_Smp_SPEpH2-nospike_2","Asparagine",12,"Bad IRcomparable to blkbad S/N",225236,-124631,12545,2.024815843,1.642905071,2.238815168,100605
81,"170720_Smp_SPEpH2-nospike_3","Asparagine",11.675,"Bad IRcomparable to blkbad S/N",225236,140635,32169,8.184301181,2.417829878,0.615615886,365871
82,"170720_Smp_SPEpH2-spikeafter_1a","Asparagine",11.3,NA,13877937,13652701,961570,0.457578478,8.585993016,0.01622979,13877937
83,"170720_Smp_SPEpH2-spikeafter_1b","Asparagine",11.295,NA,14595147,14369911,1170603,0.468666967,10.69943485,0.015432253,14595147
84,"170720_Smp_SPEpH2-spikeafter_1c","Asparagine",11.27,NA,13946209,13720973,987711,0.448193226,11.51349901,0.016150339,13946209
85,"170720_Smp_SPEpH2-spikeafter_2a","Asparagine",11.24,"Bad IR",8529952,8304716,566716,0.544169769,14.54227181,0.026405307,8529952
86,"170720_Smp_SPEpH2-spikeafter_2b","Asparagine",11.25,"Bad IR",8461129,8235893,548829,0.484077187,8.447914686,0.026620088,8461129
87,"170720_Smp_SPEpH2-spikeafter_2c","Asparagine",11.24,"Bad IR",8257173,8031937,525917,0.496616977,10.11894021,0.027277617,8257173
88,"170720_Smp_SPEpH2-spikeafter_3a","Asparagine",11.225,"Bad IR",4878401,4653165,289906,0.560433564,6.041467258,0.046170046,4878401
89,"170720_Smp_SPEpH2-spikeafter_3b","Asparagine",11.21,NA,3799044,3573808,220839,0.448725947,4.588004737,0.059287547,3799044
90,"170720_Smp_SPEpH2-spikeafter_3c","Asparagine",11.21,NA,3918974,3693738,272274,0.459641691,3.236196147,0.057473206,3918974
91,"170720_Smp_SPEpH2-spikebefore_1","Asparagine",11.91,"Bad IRcomparable to blk",225236,83176,42270,22.28893546,12.83332694,0.730308808,308412
92,"170720_Smp_SPEpH2-spikebefore_2","Asparagine",11.36,"Bad IRcomparable to blkbad S/N",225236,-114421,17097,24.07451662,1.509817723,2.032540721,110815
93,"170720_Smp_SPEpH2-spikebefore_3","Asparagine",11.97,"Bad IRcomparable to blkbad S/N",225236,50474,44749,9.395787895,2.922141119,0.816930833,275710
115,"170720_Smp_SPEpH2-nospike_1","Aspartic acid",NA,"Bad RTBad IRbad S/N",44241,-4377,6594,0.058924129,1.270504652,1.109798314,39864
116,"170720_Smp_SPEpH2-nospike_2","Aspartic acid",12.86,"Bad IRcomparable to blk",44241,46257,7734,0.895346076,Inf,0.488861632,90498
117,"170720_Smp_SPEpH2-nospike_3","Aspartic acid",NA,"Bad RTBad IR",44241,37043,7979,0.178475915,Inf,0.544276856,81284
118,"170720_Smp_SPEpH2-spikeafter_1a","Aspartic acid",12.215,NA,8191636,8147395,429146,1.285632047,11.75822597,0.005400753,8191636
119,"170720_Smp_SPEpH2-spikeafter_1b","Aspartic acid",12.225,NA,7670571,7626330,387337,1.318574478,7.985801755,0.005767628,7670571
120,"170720_Smp_SPEpH2-spikeafter_1c","Aspartic acid",12.215,NA,8110595,8066354,384182,1.300526602,10.28665728,0.005454717,8110595
121,"170720_Smp_SPEpH2-spikeafter_2a","Aspartic acid",12.21,"Bad IR",4211585,4167344,216741,1.196480149,5.147693923,0.010504596,4211585
122,"170720_Smp_SPEpH2-spikeafter_2b","Aspartic acid",12.2,"Bad IR",4832143,4787902,205731,1.021105318,6.610016695,0.009155565,4832143
123,"170720_Smp_SPEpH2-spikeafter_2c","Aspartic acid",12.15,"Bad IR",4549140,4504899,206756,1.186060245,14.47035222,0.009725135,4549140
124,"170720_Smp_SPEpH2-spikeafter_3a","Aspartic acid",12.15,"Bad IR",2473733,2429492,125438,0.881971365,11.37805103,0.017884307,2473733
125,"170720_Smp_SPEpH2-spikeafter_3b","Aspartic acid",12.14,"Bad IR",2258227,2213986,80387,0.675750882,6.348916586,0.019591033,2258227
126,"170720_Smp_SPEpH2-spikeafter_3c","Aspartic acid",12.14,NA,2399875,2355634,100507,1.353856039,16.79706949,0.01843471,2399875
127,"170720_Smp_SPEpH2-spikebefore_1","Aspartic acid",12.69,"Bad IRbad S/N",44241,375795,30391,0.587817272,3.664678902,0.105326686,420036
128,"170720_Smp_SPEpH2-spikebefore_2","Aspartic acid",12.145,"Bad IR",44241,537709,48462,4.417111325,5.802637551,0.076021995,581950
129,"170720_Smp_SPEpH2-spikebefore_3","Aspartic acid",NA,"Bad RT",44241,1444768,52357,1.326576358,Inf,0.029711708,1489009
151,"170720_Smp_SPEpH2-nospike_1","Cystine",13.38,"Bad IRcomparable to blk",14776,11579,4016,69.35526316,7.211407023,0.560652628,26355
152,"170720_Smp_SPEpH2-nospike_2","Cystine",13.35,"Bad IR",14776,68026,13624,11.20005411,122.4105572,0.178449796,82802
153,"170720_Smp_SPEpH2-nospike_3","Cystine",13.195,"Bad IRcomparable to blk",14776,18400,4336,0.711671708,9.00965717,0.445382204,33176
154,"170720_Smp_SPEpH2-spikeafter_1a","Cystine",13.195,NA,35757928,35743152,2484839,1.188441827,58.3771967,0.000413223,35757928
155,"170720_Smp_SPEpH2-spikeafter_1b","Cystine",13.195,NA,34546640,34531864,2503908,1.090864493,35.03955278,0.000427712,34546640
156,"170720_Smp_SPEpH2-spikeafter_1c","Cystine",13.195,NA,34294740,34279964,2611756,1.11903102,63.33979125,0.000430853,34294740
157,"170720_Smp_SPEpH2-spikeafter_2a","Cystine",13.195,NA,18702850,18688074,1403693,1.129317729,83.03831966,0.00079004,18702850
158,"170720_Smp_SPEpH2-spikeafter_2b","Cystine",13.195,NA,18897362,18882586,1298774,1.182145953,44.06668976,0.000781908,18897362
159,"170720_Smp_SPEpH2-spikeafter_2c","Cystine",13.195,NA,17281172,17266396,1142098,1.125724106,39.0015613,0.000855035,17281172
160,"170720_Smp_SPEpH2-spikeafter_3a","Cystine",13.195,NA,8588633,8573857,539972,0.995863436,35.61804456,0.001720413,8588633
161,"170720_Smp_SPEpH2-spikeafter_3b","Cystine",13.195,NA,8820508,8805732,585989,1.097813262,30.23970537,0.001675187,8820508
162,"170720_Smp_SPEpH2-spikeafter_3c","Cystine",13.195,NA,8476513,8461737,461410,1.056968606,93.93912614,0.00174317,8476513
163,"170720_Smp_SPEpH2-spikebefore_1","Cystine",13.27,"Bad IRcomparable to blk",14776,6697,2972,7.184008029,Inf,0.688119965,21473
164,"170720_Smp_SPEpH2-spikebefore_2","Cystine",13.05,"comparable to blkbad S/N",14776,4165,4075,1.159960806,1.57553935,0.780106647,18941
165,"170720_Smp_SPEpH2-spikebefore_3","Cystine",13.125,"Bad IRcomparable to blk",14776,12696,4457,11.72013652,Inf,0.537856727,27472
187,"170720_Smp_SPEpH2-nospike_1","Glutamic acid",12.21,"Bad IRbad S/N",156111,1297320,115370,4.345370996,3.713462662,0.107408608,1453431
188,"170720_Smp_SPEpH2-nospike_2","Glutamic acid",12.205,"Bad IRbad S/N",156111,783473,57652,0.69577993,3.151476016,0.166149062,939584
189,"170720_Smp_SPEpH2-nospike_3","Glutamic acid",12.185,"Bad IR",2365280,2209169,168460,1.377925852,5.784481102,0.066001065,2365280
190,"170720_Smp_SPEpH2-spikeafter_1a","Glutamic acid",12.01,NA,73431992,73275881,6727187,2.19471072,39.09201283,0.002125926,73431992
191,"170720_Smp_SPEpH2-spikeafter_1b","Glutamic acid",11.995,NA,73889240,73733129,6599997,2.144332068,28.98235984,0.00211277,73889240
192,"170720_Smp_SPEpH2-spikeafter_1c","Glutamic acid",11.99,NA,74565272,74409161,6721637,2.127556725,30.44170611,0.002093615,74565272
193,"170720_Smp_SPEpH2-spikeafter_2a","Glutamic acid",11.99,NA,45822492,45666381,3821600,2.192118447,18.00068563,0.003406864,45822492
194,"170720_Smp_SPEpH2-spikeafter_2b","Glutamic acid",11.99,NA,46448676,46292565,3736850,2.033286083,16.85226023,0.003360935,46448676
195,"170720_Smp_SPEpH2-spikeafter_2c","Glutamic acid",11.99,NA,42755396,42599285,3618130,2.0620471,32.30518151,0.003651258,42755396
196,"170720_Smp_SPEpH2-spikeafter_3a","Glutamic acid",11.99,NA,24498730,24342619,1858663,2.118709582,39.59380514,0.006372208,24498730
197,"170720_Smp_SPEpH2-spikeafter_3b","Glutamic acid",11.99,NA,24193062,24036951,1829505,2.120925866,18.99447069,0.006452718,24193062
198,"170720_Smp_SPEpH2-spikeafter_3c","Glutamic acid",11.99,NA,23567810,23411699,1669143,2.184592916,22.83678613,0.006623908,23567810
199,"170720_Smp_SPEpH2-spikebefore_1","Glutamic acid",12.24,NA,768342,612231,53742,0.785073486,11.11149276,0.203179053,768342
200,"170720_Smp_SPEpH2-spikebefore_2","Glutamic acid",12.235,NA,1302201,1146090,87395,1.074008551,4.577642362,0.119882414,1302201
201,"170720_Smp_SPEpH2-spikebefore_3","Glutamic acid",12.175,NA,1635991,1479880,89416,1.597326124,3.768614636,0.095422897,1635991
223,"170720_Smp_SPEpH2-nospike_1","Glutamine",11.68,"Bad IRbad S/N",357333,1609265,99606,1.416902265,3.357423446,0.18170109,1966598
224,"170720_Smp_SPEpH2-nospike_2","Glutamine",11.675,"comparable to blkbad S/N",357333,416017,89254,0.7322877,1.719994116,0.462058576,773350
225,"170720_Smp_SPEpH2-nospike_3","Glutamine",11.625,"Bad IRbad S/N",357333,1543443,112803,1.474028527,3.19443787,0.18799322,1900776
