"","Compound.Name","spikeafter1","spikeafter2","spikeafter3","spikebefore","percent.recovery","Group"
"1","Cyclic diGMP",145430.015330492,86944.7887324218,60207.5084029818,389206.504892569,134,"Intracellular signaling"
"2","Thymine",1971335.40489424,889257.401906324,567526.788653376,4304042.02718145,109,"Nucleic Acid"
"3","Thymidine",1267125.8983409,494908.858571825,314529.989723648,2713238.62546004,107,"Nucleoside"
"4","Salicylic Acid",32063701.6360527,13831264.4065797,7923645.03345075,55162310.5417708,86,"Antioxidant"
"5","Guanosine",40349261.9639327,14976029.4146309,8629601.20546002,67183818.057956,83,"Nucleoside"
"6","Hydroxy-4-methylthiobutyric Acid",3367163.60256491,1494221.24572521,850341.675607524,5560874.48767138,83,"New"
"7","Adenine",11061037.3827731,4817461.008296,2749579.11058661,18096663.3194481,82,"Nucleic Acid"
"8","cAMP",59033884.4719719,25068865.0614442,14530434.6394476,96283650.4359372,82,"Intracellular signaling"
"9","Guanine",4032187.82083699,1778163.67796106,1114199.33412322,6464469.26178724,80,"Nucleic Acid"
"10","Ethyl Dihydroxybenzoate",11614958.9566991,4939936.27464227,2688273.5920627,18380358.1095101,79,"Lignin"
"11","Riboflavin Monophosphate",8844250.67328919,3599690.77613729,1492913.30001875,13896560.504143,79,"Redox"
"12","Adenosine",386201.054572546,126505.440424459,68002.6741472113,592188.702124335,77,"Nucleoside"
"13","Homocysteine Thiolactone",3517129.80401808,1649767.49430248,750653.271969745,4196521.71338996,60,"New"
"14","cGMP",19863294.8381264,8319218.80835424,4811788.07058817,18091705.2968885,46,"Intracellular signaling"
"15","Acetoacetyl CoA",815330.141166885,458553.010442672,185817.724479949,649593.397344442,40,"Co-enzyme A"
"16","Thiamine monophosphate",370575401.297518,130471666.544533,47501804.0109541,298926764.476652,40,"Vitamin (B1-derivative)"
"17","Uridine",3848315.40541288,1820955.56695897,875061.898447393,2765487.1088008,36,"Nucleoside"
"18","Methyl 3-methylthiopropionate",9277504.33333333,7365228,1991395,6219006.33333333,34,"New"
"19","Lipoic Acid",1555259.9711471,787243.499905525,426961.754204834,889945.483562994,29,"Organic Acid"
"20","Cytidine",1970293.87078425,933339.645514436,441083.072940885,1105846.90988197,28,"Nucleoside"
"21","NAD",2682813.60263971,970613.590906182,636547.05592732,1366703.12614937,25,"Redox"
"22","Leucine",65688550.4807642,19353833.7999022,-1739272.80708385,31726568.639161,24,"Amino Acid"
"23","Thiamine pyrophosphate",93782136.4337389,30736835.3167241,11410133.8095611,41103955.5900461,22,"Vitamin (B1-derivative)"
"24","Resorcylic Acid",60827866.6736988,25145262.5268614,12630881.5582435,25744870.7454036,21,"Lignin"
"25","Adenosyl Homocysteine",993185824.896752,489345730.274621,227085855.553706,389721970.66025,20,"Amino Acid synthesis"
"26","Vitamin B3",143929916.124271,65371749.1545946,32360210.5787856,48058953.5814038,17,"Vitamin"
"27","Keto-methiobutyric Acid",1479145.76588503,566223.078705385,288344.180304832,464500.824703229,16,"New"
