# Hello! welcome to your data! Overload height: 1e+08. RT flexibility: 0.4. Ion ratio flexibility: 0.3. Blank can be this fraction of a sample: 0.3. S/N threshold: 4. Minimum peak height: 1000. Processed on: 2017-07-25 11:07:35,,,,,,,,,,,
,Replicate.Name,Compound.Name,Retention.Time,Notes,Area,Area.BlkSub,Height,IR,S.N,BlkRatio,rawArea
1,170720_Poo_TruePoo_Full1,Alanine,11.33,,12118685,12081824,1020057,NA,465.0862789,0.003041667,12118685
2,170720_Poo_TruePoo_Full2,Alanine,11.33,,12768202,12731341,1272440,NA,35.62215859,0.002886937,12768202
3,170720_Poo_TruePoo_Full3,Alanine,11.33,,13558393,13521532,1270591,NA,44.48914407,0.002718685,13558393
4,170720_Poo_TruePoo_Half1,Alanine,11.35,,6162506,6125645,552401,NA,145.2871927,0.005981495,6162506
5,170720_Poo_TruePoo_Half2,Alanine,11.31,,6543258,6506397,540038,NA,584.1261028,0.005633432,6543258
6,170720_Poo_TruePoo_Half3,Alanine,11.3,,6294322,6257461,590293,NA,64.92381126,0.00585623,6294322
7,170720_Smp_SPEpH2-nospike_1,Alanine,11.38,comparable to blkbad S/N,NA,64347,18624,NA,1.582945022,0.364210339,101208
8,170720_Smp_SPEpH2-nospike_2,Alanine,11.27,,NA,240653,30128,NA,Inf,0.132825731,277514
9,170720_Smp_SPEpH2-nospike_3,Alanine,11.17,,NA,114019,24727,NA,5.093881427,0.244306734,150880
10,170720_Smp_SPEpH2-spikeafter_1a,Alanine,11.3,,54545608,54508747,4798851,NA,72.40028877,0.000675783,54545608
11,170720_Smp_SPEpH2-spikeafter_1b,Alanine,11.3,,55067536,55030675,5065619,NA,67.71262496,0.000669378,55067536
12,170720_Smp_SPEpH2-spikeafter_1c,Alanine,11.3,,53710944,53674083,4827636,NA,73.44099892,0.000686285,53710944
13,170720_Smp_SPEpH2-spikeafter_2a,Alanine,11.3,,31648746,31611885,2856712,NA,79.20877752,0.001164691,31648746
14,170720_Smp_SPEpH2-spikeafter_2b,Alanine,11.31,,30600398,30563537,2800811,NA,72.03816046,0.001204592,30600398
15,170720_Smp_SPEpH2-spikeafter_2c,Alanine,11.3,,30049268,30012407,2785943,NA,114.470967,0.001226685,30049268
16,170720_Smp_SPEpH2-spikeafter_3a,Alanine,11.3,,15185051,15148190,1440239,NA,711.2456034,0.002427453,15185051
17,170720_Smp_SPEpH2-spikeafter_3b,Alanine,11.3,,16196347,16159486,1414681,NA,48.92697773,0.002275884,16196347
18,170720_Smp_SPEpH2-spikeafter_3c,Alanine,11.3,,15035511,14998650,1333952,NA,239.2089545,0.002451596,15035511
19,170720_Smp_SPEpH2-spikebefore_1,Alanine,11.45,,NA,136915,20321,NA,38.82673052,0.212117899,173776
20,170720_Smp_SPEpH2-spikebefore_2,Alanine,11.22,,NA,217954,21437,NA,41.75735765,0.144657889,254815
21,170720_Smp_SPEpH2-spikebefore_3,Alanine,11.19,,NA,222811,20100,NA,Inf,0.141952155,259672
22,170720_Smp_SPEpH8-nospike_1,Alanine,11.36,,NA,196770,15326,NA,197.3285714,0.157774439,233631
23,170720_Smp_SPEpH8-nospike_2,Alanine,11.35,comparable to blkbad S/N,NA,82651,20692,NA,3.591495544,0.308429279,119512
24,170720_Smp_SPEpH8-nospike_3,Alanine,11.26,comparable to blk,NA,81725,21004,NA,Inf,0.310837704,118586
25,170720_Smp_SPEpH8-spikeafter_1a,Alanine,11.33,,62674760,62637899,5879228,NA,92.24676977,0.000588131,62674760
26,170720_Smp_SPEpH8-spikeafter_1b,Alanine,11.33,,63664372,63627511,5709669,NA,108.4899659,0.000578989,63664372
27,170720_Smp_SPEpH8-spikeafter_1c,Alanine,11.31,,65610692,65573831,6202985,NA,63.52406641,0.000561814,65610692
28,170720_Smp_SPEpH8-spikeafter_2a,Alanine,11.35,,36176508,36139647,3432755,NA,63.90450737,0.001018921,36176508
29,170720_Smp_SPEpH8-spikeafter_2b,Alanine,11.33,,35636268,35599407,3577557,NA,64.81796008,0.001034368,35636268
