"X1","Replicate.Name","Compound.Name","Retention.Time","Notes","Area","Area.BlkSub","Height","IR","S.N","BlkRatio","rawArea"
22,"170720_Smp_SPEpH8-nospike_1","Alanine",11.36,NA,36861,196770,15326,NA,197.3285714,0.157774439,233631
23,"170720_Smp_SPEpH8-nospike_2","Alanine",11.35,"comparable to blkbad S/N",36861,82651,20692,NA,3.591495544,0.308429279,119512
24,"170720_Smp_SPEpH8-nospike_3","Alanine",11.26,"comparable to blk",36861,81725,21004,NA,Inf,0.310837704,118586
25,"170720_Smp_SPEpH8-spikeafter_1a","Alanine",11.33,NA,62674760,62637899,5879228,NA,92.24676977,0.000588131,62674760
26,"170720_Smp_SPEpH8-spikeafter_1b","Alanine",11.33,NA,63664372,63627511,5709669,NA,108.4899659,0.000578989,63664372
27,"170720_Smp_SPEpH8-spikeafter_1c","Alanine",11.31,NA,65610692,65573831,6202985,NA,63.52406641,0.000561814,65610692
28,"170720_Smp_SPEpH8-spikeafter_2a","Alanine",11.35,NA,36176508,36139647,3432755,NA,63.90450737,0.001018921,36176508
29,"170720_Smp_SPEpH8-spikeafter_2b","Alanine",11.33,NA,35636268,35599407,3577557,NA,64.81796008,0.001034368,35636268
30,"170720_Smp_SPEpH8-spikeafter_2c","Alanine",11.33,NA,37906828,37869967,3689984,NA,138.4087991,0.000972411,37906828
31,"170720_Smp_SPEpH8-spikeafter_3a","Alanine",11.35,NA,18021672,17984811,1730597,NA,259.9506717,0.002045371,18021672
32,"170720_Smp_SPEpH8-spikeafter_3b","Alanine",11.38,NA,15930154,15893293,1396612,NA,38.27153914,0.002313914,15930154
33,"170720_Smp_SPEpH8-spikeafter_3c","Alanine",11.33,NA,19690396,19653535,1810787,NA,52.12728595,0.001872029,19690396
34,"170720_Smp_SPEpH8-spikebefore_1","Alanine",11.38,NA,36861,291402,24067,NA,Inf,0.112291059,328263
35,"170720_Smp_SPEpH8-spikebefore_2","Alanine",11.35,NA,36861,87771,13554,NA,5.202022927,0.295758714,124632
36,"170720_Smp_SPEpH8-spikebefore_3","Alanine",11.25,"comparable to blk",36861,77954,14029,NA,4.419759338,0.321046902,114815
58,"170720_Smp_SPEpH8-nospike_1","Arginine",18.025,"comparable to blk",8698919,1118714,197054,3.398918385,5.356971237,0.886050538,9817633
59,"170720_Smp_SPEpH8-nospike_2","Arginine",18.245,"comparable to blk",8698919,5813984,374799,3.389342359,9.490116346,0.599392072,14512903
60,"170720_Smp_SPEpH8-nospike_3","Arginine",18.045,"comparable to blk",8698919,2176321,258725,3.48693127,7.689664251,0.799882945,10875240
61,"170720_Smp_SPEpH8-spikeafter_1a","Arginine",18.045,NA,661896768,653197849,31593524,3.198369169,33.76653411,0.01314241,661896768
62,"170720_Smp_SPEpH8-spikeafter_1b","Arginine",18.045,NA,944199872,935500953,42385276,3.220905957,37.93607625,0.009213006,944199872
63,"170720_Smp_SPEpH8-spikeafter_1c","Arginine",18.045,NA,1087304448,1078605529,45848412,3.213545322,40.52725006,0.008000445,1087304448
64,"170720_Smp_SPEpH8-spikeafter_2a","Arginine",18.31,NA,328373248,319674329,14885796,3.190567649,39.16825435,0.026490949,328373248
65,"170720_Smp_SPEpH8-spikeafter_2b","Arginine",18.34,NA,480031168,471332249,20538396,3.216221999,39.90688542,0.018121571,480031168
66,"170720_Smp_SPEpH8-spikeafter_2c","Arginine",18.045,NA,561988416,553289497,22715336,3.204667662,44.86023749,0.015478823,561988416
67,"170720_Smp_SPEpH8-spikeafter_3a","Arginine",18.045,NA,164050432,155351513,6737896,3.147820574,32.02390962,0.053025883,164050432
68,"170720_Smp_SPEpH8-spikeafter_3b","Arginine",18.045,NA,205863632,197164713,8162119,3.209422321,32.88867137,0.042255735,205863632
69,"170720_Smp_SPEpH8-spikeafter_3c","Arginine",18.045,NA,235007152,226308233,9349093,3.189396045,27.11801159,0.03701555,235007152
70,"170720_Smp_SPEpH8-spikebefore_1","Arginine",18.135,"comparable to blk",8698919,2873561,243216,3.263684443,6.602315967,0.75169013,11572480
71,"170720_Smp_SPEpH8-spikebefore_2","Arginine",18.165,"comparable to blk",8698919,2522961,237736,3.465842004,6.242609953,0.775174837,11221880
72,"170720_Smp_SPEpH8-spikebefore_3","Arginine",18.26,"comparable to blk",8698919,4919387,321490,3.262332288,8.795529091,0.638766598,13618306
94,"170720_Smp_SPEpH8-nospike_1","Asparagine",11.765,"Bad IRcomparable to blkbad S/N",225236,-76659,19157,6.692657658,3.469656422,1.51595469,148577
95,"170720_Smp_SPEpH8-nospike_2","Asparagine",11.92,"Bad IRcomparable to blkbad S/N",225236,-71788,26598,5.032732043,2.296462457,1.467832751,153448
96,"170720_Smp_SPEpH8-nospike_3","Asparagine",11.835,"Bad IRcomparable to blk",225236,97576,20607,186.4887348,5.432830287,0.697731187,322812
97,"170720_Smp_SPEpH8-spikeafter_1a","Asparagine",11.425,"Bad IR",13394674,13169438,765025,0.481896061,26.30209109,0.01681534,13394674
98,"170720_Smp_SPEpH8-spikeafter_1b","Asparagine",11.395,NA,14344241,14119005,894689,0.46371036,12.15233205,0.01570219,14344241
99,"170720_Smp_SPEpH8-spikeafter_1c","Asparagine",11.31,NA,14993546,14768310,1018049,0.456286164,8.540200786,0.015022197,14993546
100,"170720_Smp_SPEpH8-spikeafter_2a","Asparagine",11.5,NA,6487196,6261960,482499,0.46374691,6.624299151,0.034720086,6487196
101,"170720_Smp_SPEpH8-spikeafter_2b","Asparagine",11.435,NA,6471362,6246126,659445,0.392133791,4.050707455,0.034805038,6471362
102,"170720_Smp_SPEpH8-spikeafter_2c","Asparagine",11.33,"Bad IR",8670512,8445276,762853,0.51680593,7.479326788,0.025977243,8670512
103,"170720_Smp_SPEpH8-spikeafter_3a","Asparagine",11.465,"Bad IR",3965604,3740368,272982,0.499512467,11.285283,0.056797401,3965604
104,"170720_Smp_SPEpH8-spikeafter_3b","Asparagine",11.355,"Bad IR",4812781,4587545,391474,0.600742918,8.081816135,0.046799553,4812781
105,"170720_Smp_SPEpH8-spikeafter_3c","Asparagine",11.32,"Bad IR",4458537,4233301,322270,0.485355049,4.447744505,0.050517917,4458537
106,"170720_Smp_SPEpH8-spikebefore_1","Asparagine",11.765,"Bad IRcomparable to blkbad S/N",225236,-1900,20987,457.6557377,2.595906905,1.008507361,223336
107,"170720_Smp_SPEpH8-spikebefore_2","Asparagine",11.785,"Bad IRcomparable to blk",225236,36174,32522,40.11201473,9.01256705,0.861619678,261410
108,"170720_Smp_SPEpH8-spikebefore_3","Asparagine",11.82,"Bad IRcomparable to blk",225236,31038,20467,12.12155898,6.548737713,0.878887441,256274
130,"170720_Smp_SPEpH8-nospike_1","Aspartic acid",12.715,"Bad IRcomparable to blk",44241,-36957,2491,0.091253038,Inf,6.073723229,7284
131,"170720_Smp_SPEpH8-nospike_2","Aspartic acid",NA,"Bad RTBad IR",44241,565563,38039,0.46833139,18.82896237,0.072549541,609804
132,"170720_Smp_SPEpH8-nospike_3","Aspartic acid",NA,"Bad RTBad IR",44241,594547,45921,0.14250241,35.80754141,0.069257719,638788
133,"170720_Smp_SPEpH8-spikeafter_1a","Aspartic acid",12.395,"Bad IR",6249176,6204935,401262,1.002172676,8.634567527,0.007079493,6249176
134,"170720_Smp_SPEpH8-spikeafter_1b","Aspartic acid",12.31,NA,7897996,7853755,367559,1.392305683,13.7649331,0.005601548,7897996
135,"170720_Smp_SPEpH8-spikeafter_1c","Aspartic acid",12.225,"Bad IR",8617025,8572784,384103,1.19253792,54.48203203,0.005134139,8617025
136,"170720_Smp_SPEpH8-spikeafter_2a","Aspartic acid",12.45,"Bad IR",3266960,3222719,165777,1.187386148,45.72469403,0.013541947,3266960
137,"170720_Smp_SPEpH8-spikeafter_2b","Aspartic acid",12.34,NA,3456022,3411781,207888,1.378793603,5.885119844,0.012801134,3456022
138,"170720_Smp_SPEpH8-spikeafter_2c","Aspartic acid",12.31,NA,3990162,3945921,223545,1.292648208,5.777018088,0.01108752,3990162
139,"170720_Smp_SPEpH8-spikeafter_3a","Aspartic acid",12.365,"Bad IR",1595150,1550909,80847,1.174195163,4.537576844,0.027734696,1595150
