Sample.Name,,,,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,inj.vol,Blanks
170516_Blk_Blk_1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Blk_Blk_2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Blk_Blk_3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Std_4uM_StdsInH2O_1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:02,2,HILIC,1,1,1,1,
170516_Blk_Blk_4,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Blk_Blk_5,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Blk_MQBlk_1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:23,2,HILIC,1,1,1,1,
170516_Blk_SPE-Blk_1,pH 8,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:24,2,HILIC,1,1,1,1,
170516_Blk_EtAcBlk_1,pH 8,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:25,2,HILIC,1,1,1,1,
170516_Poo_TruePoo_Half1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:03,2,HILIC,1,1,1,0.5,170516_Blk_MQBlk_1
170516_Poo_TruePoo_Full1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:04,2,HILIC,1,1,1,1,170516_Blk_MQBlk_1
170516_Smp_SPEpH8_1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:05,2,HILIC,1,1,1,1,170516_Blk_SPE-Blk_1
170516_Smp_EtACpH8_1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:06,2,HILIC,1,1,1,1,170516_Blk_EtAcBlk_1
170516_Blk_Blk_6,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Smp_SPEpH8_3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:07,2,HILIC,1,1,1,1,170516_Blk_SPE-Blk_1
170516_Smp_SPEpH8_2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:08,2,HILIC,1,1,1,1,170516_Blk_SPE-Blk_1
170516_Smp_EtACpH8_3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:09,2,HILIC,1,1,1,1,170516_Blk_EtAcBlk_1
170516_Smp_EtACpH8_2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:10,2,HILIC,1,1,1,1,170516_Blk_EtAcBlk_1
170516_Blk_Blk_7,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Poo_TruePoo_Half2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:03,2,HILIC,1,1,1,0.5,170516_Blk_MQBlk_1
170516_Poo_TruePoo_Full2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:04,2,HILIC,1,1,1,1,170516_Blk_MQBlk_1
170516_Smp_SPEpH5_1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:11,2,HILIC,1,1,1,1,170516_Blk_SPE-Blk_1
170516_Smp_EtACpH5_1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:12,2,HILIC,1,1,1,1,170516_Blk_EtAcBlk_1
170516_Blk_Blk_8,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Smp_SPEpH5_2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:13,2,HILIC,1,1,1,1,170516_Blk_SPE-Blk_1
170516_Smp_SPEpH5_3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:14,2,HILIC,1,1,1,1,170516_Blk_SPE-Blk_1
170516_Smp_EtACpH5_3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:15,2,HILIC,1,1,1,1,170516_Blk_EtAcBlk_1
170516_Smp_EtACpH5_2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:16,2,HILIC,1,1,1,1,170516_Blk_EtAcBlk_1
170516_Blk_Blk_9,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Smp_EtACpH2_3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:17,2,HILIC,1,1,1,1,170516_Blk_EtAcBlk_1
170516_Smp_EtACpH2_2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:18,2,HILIC,1,1,1,1,170516_Blk_EtAcBlk_1
170516_Smp_SPEpH2_1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:19,2,HILIC,1,1,1,1,170516_Blk_SPE-Blk_1
170516_Smp_EtACpH2_1,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:20,2,HILIC,1,1,1,1,170516_Blk_EtAcBlk_1
170516_Blk_Blk_10,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Smp_SPEpH2_2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:21,2,HILIC,1,1,1,1,170516_Blk_SPE-Blk_1
170516_Smp_SPEpH2_3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:22,2,HILIC,1,1,1,1,170516_Blk_SPE-Blk_1
170516_Poo_TruePoo_Half3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:03,2,HILIC,1,1,1,0.5,170516_Blk_MQBlk_1
170516_Poo_TruePoo_Full3,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:04,2,HILIC,1,1,1,1,170516_Blk_MQBlk_1
170516_Blk_Blk_11,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Std_4uM_StdsInH2O_2,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:02,2,HILIC,1,1,1,1,
170516_Blk_Blk_12,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170516_Blk_Blk_13,,HILIC_POS-NEG_Refine_3-29-17,Metab_March17_cal_HILIC,ZIC pHILIC_85 to 40_ACN,1:01,2,HILIC,1,1,1,1,
170518_Blk_Blk_1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Blk_Blk_2,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Std_250nMStdsInH2O_1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:02,15,CyanoAq,1,1,1,1,
170518_Blk_Blk_3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Blk_Blk_4,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Blk_MQBlk_1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:23,15,CyanoAq,1,1,1,1,
170518_Blk_SPE-Blk_1,pH 8,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:24,15,CyanoAq,1,1,1,1,
170518_Blk_EtAcBlk_1,pH 8,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:25,15,CyanoAq,1,1,1,1,
170518_Poo_TruePoo_Half1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:03,15,CyanoAq,1,1,1,0.5,170518_Blk_MQBlk_1
170518_Poo_TruePoo_Full1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:04,15,CyanoAq,1,1,1,1,170518_Blk_MQBlk_1
170518_Smp_SPEpH8_1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:05,15,CyanoAq,1,1,1,1,170518_Blk_SPE-Blk_1
170518_Smp_EtACpH8_1,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:06,15,CyanoAq,1,1,1,1,170518_Blk_EtAcBlk_1
170518_Blk_Blk_5,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:01,15,CyanoAq,1,1,1,1,
170518_Smp_SPEpH8_3,,CYANO_POS-NEG_Refine_033017,Metab_March17_cal_Cyano,RP_POS Metabolomics,1:07,15,CyanoAq,1,1,1,1,170518_Blk_SPE-Blk_1
